	empirical_pVal (A375)	empirical_pVal (A549)	empirical_pVal (BT20)	empirical_pVal (LNCAP)	empirical_pVal (MCF7)	empirical_pVal (MDAMB231)	empirical_pVal (PC3)	Ave_pVal
F12	0.00067	0.04863	9e-05	0.3291	0.00034	0.08662	0.04256	0.0725728571429
DCP2	1e-05	1e-05	0.44256	6e-05	3e-05	0.06545	0.00016	0.0726114285714
IFT52	0.34787	1e-05	2e-05	2e-05	0.00018	0.03954	0.12081	0.0726357142857
PARM1	0.09191	0.06902	0.0178	0.00896	0.00256	0.31255	0.00669	0.0727842857143
PCSK7	6e-05	0.00227	0.47406	0.00449	0.02831	1e-05	0.00035	0.0727928571429
ELP3	0.02054	0.2484	0.00089	0.00011	1e-05	0.20158	0.03831	0.0728342857143
GLRX3	0.0031	0.486	1e-05	1e-05	1e-05	0.02081	0.00013	0.0728671428571
PCID2	0.12553	0.19334	0.00134	0.00268	2e-05	0.10605	0.08119	0.0728785714286
RDH8	0.00363	0.20327	0.12554	0.03058	0.02704	0.10825	0.01216	0.0729242857143
PSME2	0.00045	0.04943	0.05989	5e-05	1e-05	0.39193	0.00921	0.0729957142857
MLF1	0.0002	0.06273	0.0003	0.00123	0.02501	0.40948	0.01223	0.0730257142857
LEPREL4	2e-05	0.05261	1e-05	0.02088	1e-05	0.39257	0.04524	0.0730485714286
SMC3	0.00043	2e-05	0.49926	0.00836	0.00116	7e-05	0.00222	0.0730742857143
NKX3-1	0.00125	0.34059	0.00534	0.06335	1e-05	0.09546	0.00554	0.0730771428571
ANXA2P2	0.00142	0.12036	1e-05	0.00155	1e-05	0.37088	0.01788	0.0731585714286
DNAJC2	0.01412	1e-05	0.00227	0.07169	1e-05	0.42511	1e-05	0.0733171428571
SULT2B1	0.1335	0.0983	0.25091	0.02062	0.00063	0.00394	0.00631	0.0734585714286
RALB	0.07655	0.00116	1e-05	1e-05	8e-05	0.01057	0.42591	0.07347
LRFN4	0.00475	0.12363	1e-05	0.04957	1e-05	0.25605	0.08124	0.0736085714286
ALDH3A1	0.0419	0.00101	0.11205	0.09394	0.05919	0.02844	0.17902	0.07365
KARS	0.00029	1e-05	0.41499	0.00896	0.05099	0.01007	0.03038	0.07367
GPX2	0.15732	0.01875	0.15073	0.00012	0.0016	0.18679	0.00076	0.0737242857143
CTDNEP1	0.12853	0.06514	0.12406	0.0227	0.14278	0.00117	0.03198	0.0737657142857
MED6	2e-05	6e-05	0.04185	7e-05	3e-05	0.00359	0.47087	0.0737842857143
SSH1	0.00117	0.0061	0.40217	0.08812	0.01536	0.00431	0.00072	0.0739928571429
AK2	0.01915	0.49668	1e-05	0.0006	1e-05	0.00117	0.00124	0.0741228571429
ZEB1	0.00511	7e-05	0.27843	0.0749	0.13045	0.02468	0.00553	0.0741671428571
AHSA1	1e-05	1e-05	0.22813	0.1533	4e-05	0.01062	0.12721	0.0741885714286
SBNO1	1e-05	1e-05	0.19165	0.0034	1e-05	0.00368	0.32074	0.0742142857143
CAPN7	0.45148	1e-05	0.00268	1e-05	0.0009	0.06176	0.00329	0.0743042857143
DUS1L	5e-05	0.00049	1e-05	0.11009	1e-05	0.14819	0.26174	0.0743685714286
MGAM	0.00243	0.01981	0.27931	0.04436	0.00158	0.10406	0.06916	0.0743871428571
AXL	5e-05	0.13549	2e-05	0.035	0.1889	0.04987	0.11166	0.0744271428571
ZCCHC8	0.00032	0.01397	0.37083	0.00147	0.01617	0.04328	0.07644	0.07464
TRIM37	0.00172	0.18664	0.00012	0.01359	0.13107	0.18923	0.00039	0.07468
UGCG	1e-05	1e-05	0.37261	0.00461	0.05505	0.07347	0.01706	0.0746885714286
MFF	0.09388	0.00216	0.01845	0.29453	0.05178	0.03958	0.02336	0.07482
PSMB6	1e-05	2e-05	0.0002	0.14459	1e-05	0.37971	0.00016	0.0749571428571
PPCDC	0.02254	1e-05	0.00132	0.0373	0.37002	0.00289	0.09103	0.0750157142857
XYLB	9e-05	1e-05	0.01853	0.04476	0.32523	0.02025	0.11647	0.0750485714286
SMG5	0.00078	0.00971	1e-05	0.10059	1e-05	0.21595	0.19835	0.0750571428571
RPLP0	9e-05	0.22471	0.00251	0.00581	1e-05	0.18547	0.10691	0.0750728571429
CNIH3	0.0001	1e-05	0.02133	0.11357	0.00581	0.00086	0.38414	0.0751171428571
ERAP2	0.08211	0.12407	0.03942	2e-05	0.00116	0.19873	0.08088	0.0751985714286
HMG20A	0.05684	0.00412	0.2285	0.06411	0.01805	0.15577	7e-05	0.0753514285714
DGKG	0.09133	1e-05	0.00219	0.12546	0.22564	0.0522	0.03088	0.0753871428571
ARHGEF26	0.01387	0.27136	0.02115	0.17495	0.00075	0.02753	0.0182	0.0754014285714
MLC1	5e-05	0.00361	1e-05	0.01921	0.50097	0.00165	0.00249	0.0754271428571
PRPF4B	0.00509	0.23883	0.25358	0.00925	2e-05	0.02119	0.00019	0.07545
EGLN1	0.0001	0.00224	0.01786	0.47975	1e-05	0.02831	1e-05	0.0754685714286
FNDC3A	0.00325	2e-05	0.28092	0.07206	0.09737	0.00063	0.07447	0.0755314285714
MRPL28	0.1934	1e-05	0.00033	0.15584	0.01004	0.05626	0.11317	0.0755785714286
COX7B	0.11746	2e-05	0.00333	0.00042	6e-05	0.40657	0.00212	0.0757114285714
MAP3K1	1e-05	0.00244	0.39171	0.03005	0.09019	0.01224	0.0036	0.0757485714286
FUBP1	1e-05	1e-05	0.12535	0.00206	0.00191	0.00323	0.39959	0.0760228571429
DDIT4	9e-05	3e-05	0.00018	1e-05	0.52577	0.0062	1e-05	0.0760414285714
GPR107	1e-05	0.01517	7e-05	1e-05	1e-05	0.34124	0.17737	0.0762685714286
ACOX3	0.00047	0.02462	6e-05	0.35	1e-05	0.02339	0.13643	0.0764257142857
ACCN2	0.01511	0.15594	0.03266	0.02318	0.0035	0.04129	0.26342	0.0764428571429
YKT6	1e-05	1e-05	0.53523	1e-05	1e-05	1e-05	1e-05	0.07647
TUBA3C	0.00026	0.30643	0.01364	0.00015	0.00012	0.21316	0.00204	0.0765428571429
NDUFB2	0.04489	0.00639	2e-05	1e-05	0.00072	0.38381	0.10111	0.0767071428571
RPL32	0.21714	0.00148	0.06401	0.00229	0.00079	0.13522	0.11734	0.0768957142857
USP16	0.0001	4e-05	0.00253	0.34469	0.02764	0.00168	0.16166	0.0769057142857
RPP14	0.29493	0.03703	4e-05	0.00083	0.00087	0.0384	0.16632	0.0769171428571
C3ORF37	0.00122	0.00121	0.13394	1e-05	9e-05	0.40215	5e-05	0.0769528571429
CYC1	0.42751	6e-05	1e-05	9e-05	1e-05	0.11113	1e-05	0.0769742857143
POT1	0.24685	1e-05	0.00044	2e-05	0.05297	0.20491	0.03398	0.0770257142857
ARHGDIA	0.00836	0.00428	6e-05	0.12737	0.00594	0.33573	0.05766	0.0770571428571
GNL3LP1	8e-05	6e-05	0.00099	0.22894	0.00818	0.00295	0.29827	0.0770671428571
STARD7	0.02818	0.00057	0.2008	0.11501	1e-05	0.19495	1e-05	0.0770757142857
GMDS	0.29386	0.20691	0.00152	1e-05	1e-05	0.00495	0.03387	0.0773042857143
PSMC6	1e-05	1e-05	0.00487	0.00021	1e-05	0.5283	0.00814	0.0773642857143
MRPL22	0.10651	0.00023	1e-05	0.0017	0.00922	0.40633	0.01779	0.0773985714286
PSMD5	1e-05	0.00464	0.43237	0.09438	0.00088	0.00583	0.00377	0.0774114285714
MED22	0.05298	0.00506	0.15307	0.09902	0.10673	0.07244	0.05317	0.0774957142857
TUBD1	1e-05	4e-05	0.00128	1e-05	0.45404	0.08822	4e-05	0.0776628571429
PGRMC1	0.32521	0.09614	0.0039	1e-05	1e-05	0.02393	0.09451	0.0776728571429
DARS2	1e-05	1e-05	0.48917	1e-05	1e-05	0.05449	2e-05	0.0776742857143
MRPS30	0.03494	1e-05	0.00846	0.04709	0.0202	0.41975	0.01358	0.0777185714286
IL24	0.0003	0.00012	0.13632	0.00559	0.00046	0.02642	0.37482	0.0777185714286
GPATCH4	0.40772	0.00331	9e-05	0.01998	0.1067	0.00644	0.00012	0.0777657142857
PEBP1	0.00307	0.00083	0.39152	0.00014	0.00018	0.07128	0.07788	0.0778428571429
PLCL2	0.14712	0.00208	0.0185	1e-05	0.37579	1e-05	0.00193	0.07792
FBXL4	0.00048	0.01541	0.17942	0.00204	0.02179	0.27855	0.04855	0.0780342857143
SF1	6e-05	0.25606	0.01295	0.16208	0.06775	0.01165	0.03582	0.0780528571429
PKIA	1e-05	0.0059	0.52275	0.00562	0.00143	0.01072	3e-05	0.0780657142857
TBC1D2	0.02071	0.06584	0.00063	0.00046	1e-05	0.24887	0.21023	0.0781071428571
GPI	0.00473	0.0073	1e-05	0.53486	1e-05	3e-05	1e-05	0.0781357142857
BZW1	2e-05	0.00014	0.00068	0.00144	1e-05	9e-05	0.54462	0.0781428571429
IL13RA2	1e-05	6e-05	0.11447	0.0027	0.42371	0.00186	0.0048	0.07823
PRUNE	0.00018	0.03662	0.39899	1e-05	1e-05	0.11207	8e-05	0.07828
RPS23	1e-05	0.00022	0.04504	0.0018	0.00021	0.50081	2e-05	0.0783014285714
MVD	0.00589	0.27633	0.01479	0.22589	0.0004	0.02488	0.00036	0.0783628571429
AATF	0.0013	0.00549	1e-05	0.32047	2e-05	0.07454	0.14716	0.0784271428571
HMGN1	0.01233	0.0589	0.15993	1e-05	1e-05	1e-05	0.3187	0.0785557142857
PSPC1	1e-05	0.00138	0.39512	0.00877	0.00407	0.08355	0.05791	0.0786871428571
EHD1	1e-05	0.18173	2e-05	0.00017	1e-05	0.35652	0.01274	0.0787428571429
YSK4	0.00112	0.05208	0.02452	0.02016	0.00208	0.45128	0.00013	0.0787671428571
C22ORF36	0.20577	0.06474	0.03165	0.05798	0.00105	0.00111	0.18962	0.0788457142857
NRAS	0.0153	0.03605	6e-05	0.00016	1e-05	0.49845	0.00313	0.0790228571429
BIN3	0.05534	1e-05	0.28939	0.15856	0.01702	0.00151	0.03146	0.0790414285714
MOK	0.02307	0.02598	0.04421	0.1994	0.16481	0.07282	0.02305	0.0790485714286
PRKCB	0.16837	0.06493	0.07788	0.0001	0.00452	0.23799	1e-05	0.0791142857143
IL1RAP	0.00034	1e-05	0.04413	0.48657	6e-05	0.01986	0.00293	0.0791285714286
SSSCA1	5e-05	0.01953	1e-05	8e-05	1e-05	0.51753	0.01707	0.0791828571429
UAP1L1	0.05499	0.18074	1e-05	0.12618	0.18871	0.0029	0.0009	0.0792042857143
NET1	0.00645	2e-05	0.18177	0.00012	0.13525	0.00436	0.22713	0.0793
GAPDH	0.00255	0.01221	0.01778	0.26507	1e-05	0.15214	0.10639	0.07945
NPY	0.02016	1e-05	0.40739	0.0374	0.00406	2e-05	0.08778	0.0795457142857
LAS1L	0.00752	0.14927	2e-05	0.32223	0.01433	0.06387	1e-05	0.0796071428571
ZNF592	0.02334	1e-05	0.0003	0.29572	1e-05	0.23792	1e-05	0.0796157142857
AQP2	0.00189	0.06769	0.004	5e-05	0.41844	0.06625	7e-05	0.07977
MEGF9	0.00591	0.01362	0.02145	2e-05	1e-05	0.50246	0.01507	0.0797914285714
SEPT7	1e-05	0.0067	0.52277	0.0299	3e-05	1e-05	2e-05	0.07992
KATNB1	0.00204	0.22167	0.00187	0.00957	0.03051	0.29463	1e-05	0.0800428571429
DPY19L2P2	0.00013	1e-05	0.11706	0.06618	0.26115	8e-05	0.1158	0.0800585714286
CBR3	0.0022	1e-05	0.00663	1e-05	0.00038	8e-05	0.55123	0.0800771428571
CLP1	1e-05	1e-05	0.44323	0.00066	1e-05	0.11681	7e-05	0.0801142857143
GBA3	0.15164	0.09177	6e-05	0.0001	0.00042	0.00026	0.31659	0.08012
SMYD5	2e-05	5e-05	1e-05	0.00179	1e-05	0.00888	0.55046	0.0801742857143
MALL	0.00772	1e-05	7e-05	0.00063	1e-05	1e-05	0.55337	0.08026
AAAS	0.00042	0.00162	0.22793	0.10219	0.04632	0.18204	0.00149	0.0802871428571
OR5I1	0.00402	0.01307	0.01038	0.00067	0.00241	0.00052	0.53114	0.0803157142857
VPS33B	0.19459	0.14046	0.155	0.00999	0.05569	0.00707	0.0006	0.0804857142857
MTF1	0.00116	0.0018	0.05558	0.45814	3e-05	0.01023	0.0372	0.0805914285714
ZFAND1	0.04065	0.02137	0.02381	0.3119	0.10498	0.03027	0.03121	0.0805985714286
ZDHHC14	7e-05	1e-05	0.003	2e-05	0.0008	0.39341	0.16844	0.0808214285714
GRAMD1B	0.00437	0.10758	0.14217	0.00015	0.24878	0.01159	0.05176	0.0809142857143
ARHGAP5	0.15243	0.0546	0.1593	0.1578	0.02337	0.00138	0.01826	0.08102
MORC3	3e-05	1e-05	0.51864	1e-05	0.02299	1e-05	0.02591	0.0810857142857
NDUFS8	0.54315	0.01331	1e-05	0.00052	1e-05	0.00027	0.01132	0.0812271428571
LILRA2	0.07608	0.18332	0.00353	0.15869	0.08521	0.04428	0.01758	0.0812414285714
AMMECR1	0.03032	0.00106	1e-05	0.00433	1e-05	0.00948	0.524	0.0813157142857
PSPH	1e-05	1e-05	0.52886	1e-05	0.03963	0.00074	1e-05	0.0813242857143
PIK3R3	1e-05	0.00683	0.44782	1e-05	0.00034	0.11425	5e-05	0.08133
L2HGDH	0.23056	1e-05	0.3399	0.00013	1e-05	0.00015	6e-05	0.0815457142857
GCN1L1	0.01967	0.00138	1e-05	0.07028	0.00755	0.3814	0.09101	0.0816142857143
C9ORF116	0.08212	0.00813	0.04785	0.00013	0.11375	0.02189	0.29808	0.0817071428571
MAP2K3	0.00089	1e-05	1e-05	1e-05	2e-05	0.07662	0.49444	0.0817142857143
SLC19A2	0.00634	0.06681	0.26456	0.00836	0.00012	0.21048	0.01554	0.0817442857143
ASPM	1e-05	1e-05	0.57204	5e-05	0.00017	1e-05	5e-05	0.0817628571429
UBE2A	1e-05	0.04902	0.44552	0.00033	1e-05	0.05962	0.01797	0.0817828571429
MED7	0.05298	0.00284	0.00169	1e-05	0.18504	0.30722	0.0228	0.0817971428571
ADI1	0.00655	7e-05	0.2513	0.0856	4e-05	0.00489	0.22415	0.0818
PLK1	1e-05	1e-05	0.57291	1e-05	1e-05	1e-05	1e-05	0.0818528571429
STRA6	1e-05	0.05817	0.3208	0.07501	0.07835	0.03192	0.00906	0.0819028571429
C17ORF63	0.00146	0.04264	0.00202	0.18427	5e-05	0.06802	0.27489	0.0819071428571
GYS1	0.00745	0.45498	0.00016	0.0425	1e-05	0.06838	0.00015	0.0819471428571
SOLH	0.00013	0.01286	9e-05	0.19276	0.25338	0.04707	0.06766	0.0819928571429
SMS	6e-05	0.31432	0.02987	0.22576	0.00033	0.00429	0.00019	0.0821171428571
FOXD2	0.04291	0.3702	0.07863	9e-05	0.00051	0.00108	0.08141	0.0821185714286
RNF126P1	0.00444	0.21868	1e-05	0.00035	0.34421	1e-05	0.00794	0.0822342857143
TAP2	0.56095	0.00117	0.01108	7e-05	2e-05	0.00259	1e-05	0.08227
RWDD1	0.03699	0.00438	0.00075	0.07253	0.00761	0.02495	0.42906	0.0823242857143
OSTF1	0.0659	0.00089	0.00036	0.41875	1e-05	0.00849	0.08214	0.0823628571429
FAM55C	0.00027	0.24642	0.00031	1e-05	0.05953	0.25325	0.01744	0.0824614285714
FUS	1e-05	1e-05	0.57666	1e-05	2e-05	1e-05	0.00152	0.0826057142857
SPAG1	0.21059	0.35235	0.01446	4e-05	6e-05	1e-05	0.00093	0.0826342857143
KIAA0368	1e-05	0.14356	0.013	0.02346	0.03803	0.19188	0.16905	0.0827128571429
SHMT2	0.02225	0.00125	0.3583	1e-05	0.01126	0.18434	0.00162	0.0827185714286
HCFC2	0.43751	0.12825	0.00388	2e-05	0.00468	0.0001	0.00523	0.08281
PRDX1	1e-05	0.00527	0.00355	4e-05	1e-05	0.57061	0.0005	0.0828557142857
TMED3	0.02033	0.00013	0.00125	0.0887	6e-05	0.07496	0.39533	0.0829657142857
GALNT10	0.00941	1e-05	1e-05	0.00617	2e-05	0.48824	0.07767	0.0830757142857
IFI30	0.00094	0.06672	0.29681	0.00209	0.00013	0.18522	0.02994	0.0831214285714
WDR47	0.17895	0.21305	0.03319	0.04114	0.07336	0.04273	0.00025	0.0832385714286
SETD6	7e-05	0.00554	0.07214	0.05085	0.19881	0.20231	0.05348	0.0833142857143
FKBP3	0.26133	0.00124	0.00923	0.00016	1e-05	0.24995	0.06174	0.08338
RBM25	1e-05	1e-05	0.01689	0.45868	1e-05	0.10807	3e-05	0.0833857142857
SLC25A4	0.2079	0.21378	0.00982	2e-05	1e-05	0.04611	0.10693	0.08351
EIF4ENIF1	0.49145	0.04696	0.01238	0.02996	0.00029	3e-05	0.00365	0.0835314285714
STK17A	1e-05	0.00025	0.0009	1e-05	1e-05	0.01092	0.57269	0.0835414285714
TSFM	0.00024	1e-05	1e-05	2e-05	0.00435	0.58022	1e-05	0.0835514285714
PUM2	0.11473	3e-05	0.14844	0.02774	0.24778	0.03347	0.01366	0.0836928571429
GPATCH1	0.00029	1e-05	0.58597	0.00013	2e-05	1e-05	1e-05	0.0837771428571
EAF2	0.12305	0.00048	0.00117	0.11774	0.00017	0.00097	0.3431	0.0838114285714
HNRNPUL2	0.00746	0.0002	0.52944	0.00105	0.00312	0.0022	0.04324	0.0838157142857
TRIM44	0.00755	0.03348	0.00043	0.1587	0.23012	0.13637	0.02079	0.08392
TOPBP1	0.35161	5e-05	0.22589	0.00194	0.00825	0.0002	7e-05	0.0840014285714
NDUFA3	0.00022	0.03581	0.38659	0.10314	0.00029	0.02885	0.03348	0.0840542857143
EMP2	0.00023	5e-05	0.45052	0.00787	0.01872	0.11011	0.00089	0.0840557142857
SLC16A3	1e-05	0.55071	0.0059	0.00369	1e-05	0.00023	0.02924	0.0842557142857
HBEGF	0.0051	0.00101	2e-05	0.05082	0.04632	0.07344	0.41312	0.0842614285714
MCFD2	0.00644	0.00575	0.33695	0.01731	0.13487	0.03388	0.0549	0.0843
AACS	3e-05	0.18808	1e-05	0.00021	1e-05	0.40206	1e-05	0.0843442857143
IL21	0.03001	0.04728	0.01603	3e-05	1e-05	0.39933	0.09774	0.0843471428571
MRPL44	0.06894	0.00237	0.26431	1e-05	0.18115	0.05799	0.0161	0.08441
PAK2	1e-05	0.03033	0.26952	1e-05	0.00038	0.29243	1e-05	0.08467
CXCL1	1e-05	2e-05	0.00761	0.0122	0.07527	0.29988	0.19818	0.0847385714286
C1GALT1C1	1e-05	2e-05	0.00073	2e-05	2e-05	0.49248	0.09998	0.0847514285714
DENND4B	0.04463	0.00035	0.02411	0.01797	0.02376	0.40709	0.07587	0.0848257142857
C7ORF23	0.00242	0.0001	0.12176	0.09871	0.00742	0.2243	0.13916	0.0848385714286
DERL1	0.00126	0.00188	0.00376	0.00058	0.08814	0.49842	0.00039	0.0849185714286
KCTD20	0.10033	0.00059	0.17116	2e-05	0.15224	0.15029	0.02052	0.0850214285714
MKLN1	0.32956	0.0982	0.008	0.00011	1e-05	0.08377	0.07648	0.0851614285714
NKX2-2	0.25791	0.0046	0.01251	0.04518	0.1087	0.16768	0.00141	0.0854271428571
MGAT2	0.59121	0.0016	0.0063	5e-05	1e-05	1e-05	0.00011	0.0856128571429
RPGRIP1L	0.00287	1e-05	0.19907	2e-05	0.16919	0.2274	0.00112	0.0856685714286
PDLIM2	0.20884	0.048	0.04573	0.06552	0.07892	0.00507	0.14836	0.0857771428571
FADS1	0.18713	0.36729	1e-05	0.00318	1e-05	0.03776	0.00538	0.0858228571429
ZW10	0.58853	0.00068	0.00073	2e-05	0.01068	0.00021	0.00012	0.0858528571429
POLR2F	0.0004	0.00649	0.05994	1e-05	0.00015	0.53392	0.00029	0.0858857142857
BMPR1A	1e-05	0.0001	0.54528	0.04245	1e-05	0.01097	0.0037	0.0860742857143
EIF4A1	2e-05	0.001	1e-05	0.01249	2e-05	0.23194	0.35706	0.0860771428571
WDR1	2e-05	0.00021	0.43708	0.00597	1e-05	0.05433	0.10504	0.0860942857143
DCAF7	0.00083	0.0349	0.15424	0.02945	0.07819	0.27184	0.03346	0.08613
CSNK1G2	0.03865	0.32352	0.1137	0.04144	0.00078	0.01872	0.06638	0.08617
RP2	0.00036	0.04432	0.13644	0.00344	0.3005	0.03494	0.08328	0.0861828571429
C4ORF43	1e-05	1e-05	0.3995	1e-05	0.20376	2e-05	3e-05	0.0861914285714
WTAP	0.04802	0.045	0.38171	0.00705	0.00238	0.04049	0.08007	0.0863885714286
SEC11A	0.02224	0.13775	0.00324	0.08477	0.21382	0.11639	0.02742	0.0865185714286
ALDOA	0.16504	0.05896	1e-05	0.2114	0.16138	0.00813	0.00098	0.0865571428571
RBBP4	0.06076	0.21232	0.00016	1e-05	1e-05	0.00096	0.33224	0.0866371428571
TBL1X	0.00117	0.12038	0.20396	0.01647	0.01317	0.25213	2e-05	0.0867571428571
SYT2	0.00048	0.00786	0.15816	0.00067	0.41935	0.02036	0.00085	0.0868185714286
ZNF282	0.02426	2e-05	0.16122	0.09879	0.11903	0.01784	0.18735	0.08693
SPA17	0.08619	3e-05	0.05295	1e-05	0.06332	8e-05	0.40636	0.0869914285714
MOCS3	0.00179	1e-05	0.47989	0.00075	1e-05	0.12679	5e-05	0.0870414285714
MAP6D1	0.00392	0.03272	0.00071	0.12259	1e-05	0.44742	0.00259	0.0871371428571
CNBP	0.03222	0.03072	0.05631	0.20981	0.06404	0.07243	0.14522	0.08725
TBCD	9e-05	0.00024	0.08629	0.07974	0.17495	0.12737	0.1425	0.0873114285714
SACM1L	0.00273	0.01263	0.1849	0.1266	1e-05	0.13837	0.14701	0.0874642857143
OSBPL8	1e-05	0.04492	0.53227	0.00033	0.006	0.02669	0.00305	0.08761
SMARCD2	0.01167	0.23322	0.17464	0.15491	0.03921	8e-05	0.00028	0.0877157142857
PLK4	1e-05	1e-05	0.61407	1e-05	1e-05	1e-05	1e-05	0.0877328571429
MNS1	0.45432	1e-05	0.11898	0.00046	0.02945	0.00012	0.01186	0.0878857142857
RBBP5	0.00041	1e-05	0.01302	1e-05	0.00018	4e-05	0.60201	0.0879542857143
HOXA5	0.26228	0.00214	0.18305	0.06912	0.02717	0.00568	0.06652	0.0879942857143
DPF1	1e-05	0.00166	0.49125	0.12286	0.00028	0.00027	1e-05	0.0880485714286
DLC1	9e-05	0.00049	0.01924	0.19074	0.00125	0.10408	0.3005	0.0880557142857
GPS1	6e-05	0.013	1e-05	0.50552	1e-05	0.01078	0.08741	0.0881128571429
ANK1	0.00274	0.11393	1e-05	0.00954	0.05559	0.40749	0.02817	0.08821
EGR3	0.23475	0.22216	0.0001	0.09107	0.00086	0.05122	0.01806	0.0883171428571
LOC100131510	0.49929	0.06286	0.0002	1e-05	0.04337	0.0124	0.00077	0.0884142857143
SS18	0.19873	0.00021	0.07481	9e-05	0.31732	1e-05	0.02826	0.08849
NME6	0.15953	0.01493	0.20107	0.06544	0.17598	0.00047	0.00281	0.0886042857143
GGT1	0.00353	0.18175	0.10047	0.02063	1e-05	0.2991	0.01493	0.0886314285714
PTGDS	0.00676	2e-05	0.34072	0.00054	0.00034	0.10387	0.16834	0.0886557142857
NPY1R	0.02668	0.13868	0.02022	0.26079	0.00057	0.13402	0.03988	0.0886914285714
GSTCD	0.00692	1e-05	0.22801	0.00814	0.23674	0.14091	0.00059	0.08876
SCARA3	0.00769	0.01971	0.41979	0.03115	1e-05	0.1434	7e-05	0.0888314285714
TMEM50B	0.03214	0.05218	0.29304	0.00014	0.00167	0.15107	0.09174	0.0888542857143
NEK2	1e-05	1e-05	0.62209	1e-05	1e-05	1e-05	1e-05	0.0888785714286
UBA6	0.00238	1e-05	0.00618	0.01641	0.1759	0.26785	0.1536	0.0889042857143
EPS15L1	0.02798	0.00736	0.03789	0.54199	0.00651	0.00099	9e-05	0.0889728571429
AQR	2e-05	0.00062	0.03276	0.07184	0.50463	0.01046	0.00298	0.0890442857143
AK1	0.31678	0.00052	1e-05	1e-05	2e-05	0.25291	0.0535	0.0891071428571
DYNC1LI1	1e-05	0.54547	0.06584	0.00058	0.00031	3e-05	0.01151	0.0891071428571
C10ORF137	1e-05	1e-05	0.01264	0.61138	2e-05	5e-05	1e-05	0.08916
ZCCHC24	0.0487	0.08396	0.02365	0.12363	0.28143	0.06092	0.00197	0.08918
GABRA2	1e-05	0.01884	0.0002	0.18727	0.00338	0.38612	0.02851	0.08919
RPS15A	1e-05	2e-05	0.01327	1e-05	1e-05	0.45717	0.15415	0.0892342857143
S100B	0.26658	2e-05	0.0503	2e-05	0.00182	2e-05	0.30605	0.0892585714286
TAF5	1e-05	1e-05	0.62552	1e-05	1e-05	1e-05	1e-05	0.0893685714286
NELL1	0.00253	1e-05	0.16427	0.00028	0.13134	0.01535	0.31187	0.0893785714286
WNT10B	1e-05	0.58879	0.0054	0.0001	1e-05	2e-05	0.03198	0.0894728571429
PIR	0.38587	0.00251	0.00148	1e-05	0.00184	0.2332	0.00166	0.08951
FIP1L1	4e-05	1e-05	0.01216	0.00638	0.60697	6e-05	0.0018	0.0896314285714
SUMO3	6e-05	0.0001	1e-05	1e-05	1e-05	0.61334	0.01393	0.0896371428571
LAGE3	0.16656	0.00397	1e-05	1e-05	1e-05	0.44445	0.01282	0.08969
FASTKD2	1e-05	0.00545	1e-05	0.31781	1e-05	0.13248	0.1726	0.0897671428571
DPP3	0.1071	0.00713	1e-05	3e-05	1e-05	0.51313	0.00151	0.0898457142857
CLSPN	0.00245	0.00031	0.12008	0.02863	0.23673	0.0011	0.24049	0.08997
PRPH	0.01354	0.00826	0.08129	0.06041	0.04091	0.19108	0.23442	0.0899871428571
TLE3	1e-05	0.00022	0.3892	0.19163	3e-05	0.04099	0.00871	0.0901128571429
PRDM5	0.00605	0.00018	0.12807	0.08205	0.04006	0.00044	0.37396	0.0901157142857
HOXD10	0.29649	0.01059	0.06423	0.20558	1e-05	0.05094	0.00548	0.0904742857143
C17ORF85	0.12207	0.00047	0.0099	0.1607	0.09365	1e-05	0.24822	0.0907171428571
MYNN	0.01791	3e-05	0.00925	0.00022	0.3745	0.04361	0.19065	0.0908814285714
LPPR2	0.01564	0.35713	0.00023	0.05963	0.07001	0.03373	0.10124	0.0910871428571
USP5	0.00476	0.09543	0.18142	0.05545	0.02859	0.17755	0.09448	0.0910971428571
GPHN	0.31589	0.03186	0.14537	0.00022	3e-05	0.10785	0.03664	0.0911228571429
CAMKMT	0.0243	1e-05	0.59787	9e-05	0.00023	0.01563	0.00016	0.0911842857143
CYP20A1	0.55862	0.04773	0.00169	5e-05	1e-05	0.03105	0.00012	0.0913242857143
DHRS11	0.27748	0.01239	1e-05	8e-05	1e-05	0.12097	0.22849	0.0913471428571
PIK3R1	0.01343	0.08088	0.2457	0.09142	1e-05	0.20801	1e-05	0.0913514285714
HOXB7	0.21946	0.26365	0.14716	4e-05	0.00587	0.00027	0.00335	0.0914
CALM3	0.08141	0.06901	0.18977	0.00619	0.06173	0.06461	0.16749	0.0914585714286
UIMC1	0.03434	0.00043	0.0156	0.00193	0.0841	0.0026	0.50142	0.0914885714286
ARHGAP19	1e-05	1e-05	0.64169	1e-05	1e-05	1e-05	1e-05	0.0916785714286
HERC5	0.0202	0.00078	0.49244	0.11772	0.0084	0.00066	0.00226	0.09178
EPHA2	0.00079	0.00051	0.01179	0.00911	0.00037	0.01083	0.60998	0.0919114285714
C20ORF103	0.16886	0.00018	0.22593	0.00979	0.21355	0.00011	0.02512	0.0919342857143
C17ORF59	0.05157	0.28072	0.17497	0.03955	0.0265	0.02866	0.0417	0.0919528571429
IER3	1e-05	0.00026	3e-05	0.07592	1e-05	0.00966	0.55803	0.0919885714286
ADNP	0.00994	0.01214	0.00243	0.00628	0.44714	0.14942	0.01716	0.0920728571429
