	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
CD97	90	36	-3.801	0.21362	138	82	-2.998	0.16982	96	63	-2.253	0.18924	101	54	0.017	0.50184	174	113	-2.992	0.01472	96	56	-4.983	0.04161	78	36	-1.673	0.33773
CDC20	90	52	-17.78	1e-05	138	87	-10.018	0.0006	96	55	-2.234	0.20559	101	68	-3.942	0.01077	174	97	-7.965	1e-05	96	60	-8.948	0.00084	78	28	10.832	0.98883
CDC25A	90	54	-30.311	1e-05	138	99	-23.737	1e-05	96	68	-14.24	1e-05	101	80	-10.702	1e-05	174	124	-9.884	1e-05	96	67	-17.724	1e-05	78	38	-26.154	1e-05
CDC25B	90	47	-11.055	0.00546	138	49	2.767	0.75532	96	49	4.17	0.92321	101	49	-3.566	0.04064	174	54	-1.978	0.15531	96	39	0.471	0.556	78	22	-13.246	0.00818
CDC42	90	53	-8.558	0.01575	138	70	-5.378	0.0554	96	61	-6.897	0.00471	101	66	-8.87	1e-05	174	114	-7.818	1e-05	96	53	-1.362	0.31891	78	34	-1.031	0.39789
CDC45	90	62	-12.898	0.00023	138	98	-11.559	1e-05	96	64	-11.743	2e-05	101	58	-11.463	1e-05	174	101	-10.969	1e-05	96	70	-14.091	1e-05	78	55	-17.195	1e-05
CDCA4	90	63	-10.839	0.00143	138	96	-20.971	1e-05	96	71	-11.199	1e-05	101	81	-10.119	1e-05	174	103	-11.934	1e-05	96	76	-13.145	1e-05	78	45	-15.31	2e-05
CDH3	90	59	-6.13	0.0513	138	70	-0.094	0.49072	96	37	5.909	0.95806	101	43	-1.089	0.30218	174	67	-0.174	0.45968	96	59	1.625	0.7187	78	36	-1.221	0.37839
CDK1	90	63	-23.609	1e-05	138	101	-22.746	1e-05	96	64	-4.583	0.03556	101	77	-11.295	1e-05	174	107	-8.538	1e-05	96	70	-15.484	1e-05	78	43	-25.173	1e-05
CDK19	90	37	-3.576	0.22533	138	58	-1.29	0.36208	96	25	0.738	0.57599	101	63	-4.608	0.00578	174	69	-2.31	0.09316	96	46	-1.797	0.28348	78	35	-1.548	0.34973
CDK2	90	48	-17.638	3e-05	138	81	-27.551	1e-05	96	56	-7.804	0.00254	101	75	-10.446	1e-05	174	107	-11.14	1e-05	96	70	-15.987	1e-05	78	43	-21.752	1e-05
CDK4	90	41	-16.854	0.00012	138	70	-17.245	1e-05	96	72	-15.015	1e-05	101	73	-7.787	1e-05	174	78	-9.544	1e-05	96	64	-7.392	0.00313	78	34	-26.279	1e-05
CDK5R1	90	68	-19.843	1e-05	138	76	-16.559	1e-05	96	69	-10.575	2e-05	101	83	-1.494	0.16702	174	87	-7.305	1e-05	96	57	-4.713	0.04897	78	39	-12.511	0.00068
CDK6	90	60	-18.772	1e-05	138	86	-15.259	1e-05	96	54	-1.417	0.30334	101	61	-2.514	0.08263	174	103	-2.417	0.04545	96	64	-4.156	0.06141	78	53	-2.708	0.20484
CDK7	90	29	3.977	0.77594	138	57	-0.407	0.45887	96	38	0.056	0.50623	101	41	-2.93	0.09216	174	57	0.29	0.56126	96	37	-0.6	0.43217	78	35	2.835	0.76052
CDKN1A	90	30	-7.404	0.08185	138	47	-2.785	0.24957	96	48	-0.097	0.48563	101	43	-14.485	1e-05	174	51	-2.735	0.08968	96	36	-8.116	0.01433	78	44	-7.594	0.01793
CDKN1B	90	35	-0.246	0.47982	138	70	1.085	0.62802	96	27	-1.285	0.37144	101	24	-3.339	0.12238	174	58	-2.811	0.07168	96	35	0.767	0.58601	78	38	3.579	0.82334
CDKN2A	90	43	0.38	0.53545	138	62	4.946	0.916	96	41	0.65	0.58207	101	33	1.735	0.76177	174	92	-0.198	0.44508	96	43	-2.15	0.25412	78	14	-4.156	0.25524
CEBPA	90	47	1.001	0.59535	138	60	-2.276	0.26555	96	46	-6.072	0.02361	101	68	-3.885	0.01175	174	99	-10.746	1e-05	96	48	-2.0	0.2595	78	31	-22.447	1e-05
CEBPD	90	54	-6.439	0.04972	138	63	-6.383	0.03775	96	29	-0.706	0.4258	101	37	-1.53	0.25157	174	98	-2.336	0.05521	96	33	-0.653	0.42819	78	53	0.157	0.52065
CEBPZ	90	54	-18.041	2e-05	138	81	-4.517	0.07527	96	68	-12.203	1e-05	101	65	-3.376	0.02851	174	112	-7.211	1e-05	96	78	-13.118	1e-05	78	47	-12.06	0.00035
CENPE	90	60	-18.31	1e-05	138	96	-22.65	1e-05	96	61	-0.079	0.48758	101	80	-7.329	1e-05	174	115	-7.08	1e-05	96	69	-15.722	1e-05	78	47	-18.223	1e-05
CEP57	90	41	1.475	0.62797	138	67	-2.236	0.25949	96	42	2.74	0.8088	101	35	-1.185	0.3038	174	97	0.174	0.54739	96	57	1.386	0.68841	78	43	-1.753	0.31495
CERK	90	56	2.036	0.70218	138	84	-0.519	0.43491	96	36	0.118	0.51257	101	39	-1.031	0.32134	174	88	-0.066	0.48143	96	52	-5.294	0.03829	78	56	4.871	0.93629
CETN3	90	53	-12.985	0.00073	138	107	-15.055	1e-05	96	52	-5.525	0.02656	101	65	-11.87	1e-05	174	97	-1.092	0.22515	96	67	-7.783	0.00141	78	45	-11.238	0.00103
CFLAR	90	45	-8.593	0.02377	138	67	6.413	0.96836	96	35	-0.906	0.39693	101	50	-5.401	0.00463	174	139	-3.977	0.00073	96	35	2.075	0.71834	78	50	-3.987	0.11685
CGRRF1	90	55	-3.995	0.1488	138	82	-3.425	0.13692	96	59	-4.626	0.04083	101	56	-6.401	0.00063	174	101	-1.536	0.1427	96	57	-1.629	0.28324	78	41	-6.376	0.04524
CHAC1	90	38	-3.429	0.22709	138	83	-2.131	0.24427	96	45	0.446	0.56155	101	59	-4.33	0.01045	174	89	1.44	0.82675	96	32	-2.832	0.22372	78	38	2.678	0.75666
CHEK1	90	66	-16.572	1e-05	138	107	-20.365	1e-05	96	63	-6.07	0.00918	101	74	-8.14	1e-05	174	91	-2.605	0.04396	96	71	-11.98	1e-05	78	47	-19.89	1e-05
CHEK2	90	69	-21.745	1e-05	138	103	-20.615	1e-05	96	62	-17.625	1e-05	101	62	-10.699	1e-05	174	104	-10.115	1e-05	96	78	-11.479	1e-05	78	46	-15.885	1e-05
CHERP	90	44	-16.06	0.00027	138	92	-21.239	1e-05	96	56	-2.476	0.18099	101	66	-3.514	0.0222	174	86	-3.672	0.01023	96	71	-5.895	0.01076	78	28	-6.311	0.08455
CHIC2	90	36	-1.351	0.38933	138	82	-12.784	3e-05	96	42	-3.708	0.12051	101	60	-0.219	0.44917	174	84	0.337	0.58693	96	34	-11.463	0.00181	78	27	5.376	0.87782
CHMP4A	90	30	-2.167	0.33895	138	36	0.519	0.54286	96	43	-0.714	0.40936	101	28	-2.154	0.20517	174	71	0.135	0.53175	96	28	6.14	0.93085	78	23	-2.998	0.27142
CHMP6	90	65	-13.853	6e-05	138	84	-8.815	0.00239	96	73	-8.453	0.00025	101	75	-4.736	0.00197	174	110	-6.615	1e-05	96	50	-5.646	0.03249	78	43	-17.875	1e-05
CHN1	90	38	-3.906	0.19778	138	77	-5.149	0.05446	96	37	-0.428	0.44975	101	30	0.491	0.57837	174	79	-1.747	0.13997	96	54	-4.475	0.06236	78	44	-8.56	0.00906
CHP	90	18	0.358	0.52246	138	70	2.658	0.78361	96	45	2.422	0.78983	101	34	-0.467	0.42298	174	71	-0.978	0.28067	96	43	-2.017	0.2677	78	36	0.423	0.54157
CIAPIN1	90	47	-16.569	0.0001	138	94	-7.49	0.00493	96	63	-4.774	0.0317	101	58	-8.689	2e-05	174	85	-8.665	1e-05	96	51	-1.604	0.29682	78	47	-11.68	0.00053
CIRBP	90	35	-12.53	0.00654	138	47	-4.579	0.13572	96	40	-0.277	0.46733	101	28	-4.837	0.0415	174	54	0.855	0.67159	96	33	0.758	0.58048	78	27	-3.835	0.19922
CISD1	90	53	-2.074	0.29982	138	71	-4.385	0.09587	96	48	2.608	0.81304	101	58	-9.581	1e-05	174	92	-0.364	0.40227	96	49	-1.776	0.27945	78	45	-17.288	1e-05
CLIC4	90	43	-17.584	0.00011	138	50	-14.103	0.00036	96	34	-2.264	0.25644	101	52	-13.153	1e-05	174	47	-1.733	0.20204	96	27	-7.46	0.03964	78	27	-2.909	0.26041
CLPX	90	57	-16.714	3e-05	138	81	-1.323	0.33536	96	33	1.044	0.61599	101	56	-4.338	0.01174	174	96	-1.951	0.09204	96	46	-4.186	0.09283	78	41	1.777	0.68444
CLSTN1	90	46	-5.831	0.08461	138	42	-0.934	0.41264	96	25	-0.828	0.41928	101	33	-4.162	0.05043	174	69	1.098	0.73717	96	40	1.693	0.69176	78	23	-0.988	0.41867
CLTB	90	37	5.371	0.87359	138	63	-1.43	0.34255	96	46	-0.25	0.46543	101	34	-3.91	0.05844	174	81	0.359	0.58761	96	50	-5.078	0.04752	78	12	2.462	0.64769
CLTC	90	50	-2.375	0.27795	138	70	-2.046	0.2714	96	47	-7.954	0.0046	101	52	-2.847	0.07496	174	84	-7.052	3e-05	96	43	-0.704	0.41461	78	32	3.036	0.76611
CNDP2	90	34	0.613	0.54977	138	56	-6.012	0.05539	96	43	2.902	0.8249	101	20	3.172	0.84369	174	46	-0.774	0.35295	96	23	-3.102	0.24053	78	32	-10.547	0.00802
CNOT4	90	76	-10.152	0.00088	138	111	-2.377	0.18706	96	55	-4.132	0.06697	101	60	-6.293	0.00045	174	107	-5.267	9e-05	96	55	-2.718	0.17188	78	62	4.066	0.91236
CNPY3	90	32	-1.233	0.4038	138	55	4.831	0.89826	96	59	2.937	0.86855	101	48	-1.859	0.17834	174	93	-1.326	0.18655	96	58	1.166	0.66335	78	48	2.456	0.76354
COASY	90	55	-27.562	1e-05	138	85	-12.391	1e-05	96	46	-12.308	5e-05	101	75	-7.425	2e-05	174	89	-8.654	1e-05	96	45	-8.13	0.00688	78	32	-16.828	0.00012
COG2	90	32	3.13	0.73384	138	70	3.533	0.85146	96	41	-0.692	0.41327	101	61	-4.584	0.00659	174	95	-3.309	0.01391	96	61	-8.928	0.00065	78	26	-1.466	0.37524
COG4	90	30	-6.093	0.12325	138	65	-2.143	0.26793	96	26	-3.377	0.19688	101	45	-1.829	0.19128	174	80	-11.56	1e-05	96	49	1.127	0.64159	78	23	2.085	0.66373
COG7	90	29	-1.369	0.39758	138	62	4.939	0.91574	96	27	-0.07	0.4944	101	49	-2.691	0.09292	174	53	-1.245	0.25891	96	37	-5.605	0.05844	78	43	-0.263	0.47236
COL1A1	90	50	-7.632	0.0312	138	64	-3.343	0.17096	96	38	-2.409	0.23338	101	56	-2.44	0.09834	174	88	-8.519	1e-05	96	49	-3.469	0.12906	78	39	-17.695	2e-05
COL4A1	90	63	-21.139	1e-05	138	49	-0.572	0.4437	96	48	-2.432	0.20591	101	33	-3.626	0.0744	174	103	-0.733	0.3007	96	33	1.215	0.62854	78	41	4.695	0.89667
COPB2	90	45	-7.78	0.03529	138	50	-12.015	0.00167	96	30	-12.594	0.00101	101	53	-3.903	0.02389	174	79	-8.25	2e-05	96	39	2.581	0.77592	78	31	-4.821	0.13005
COPS7A	90	30	0.663	0.55256	138	76	-12.808	4e-05	96	43	-1.242	0.34492	101	42	-5.709	0.00631	174	100	-1.448	0.15542	96	54	2.824	0.83547	78	32	0.645	0.5611
CORO1A	90	50	-9.751	0.00903	138	70	-5.966	0.03863	96	49	1.034	0.63975	101	47	-0.015	0.49624	174	88	-0.868	0.28115	96	55	-3.56	0.10827	78	58	-3.877	0.10714
CPNE3	90	34	-4.438	0.18298	138	54	-0.8	0.41589	96	37	1.011	0.62158	101	43	-5.118	0.01135	174	66	-0.51	0.38461	96	34	-1.836	0.30612	78	26	-0.771	0.43347
CPSF4	90	46	-12.167	0.0025	138	67	-11.847	0.00032	96	50	-0.199	0.4713	101	63	-2.562	0.07448	174	95	-0.727	0.31244	96	64	-0.41	0.43986	78	40	-5.999	0.05693
CREB1	90	51	5.32	0.906	138	59	-1.97	0.2933	96	39	-3.91	0.11542	101	43	-3.018	0.08251	174	85	-0.302	0.42303	96	55	1.423	0.68919	78	45	-3.558	0.15858
CREG1	90	41	-0.717	0.43362	138	35	5.49	0.87522	96	25	-0.811	0.4209	101	24	-1.404	0.30469	174	81	0.208	0.5511	96	35	1.35	0.64638	78	24	3.693	0.77869
CRELD2	90	47	-2.501	0.27222	138	64	-5.033	0.07839	96	51	0.679	0.59322	101	65	-2.626	0.06732	174	109	-4.274	0.00128	96	51	-0.081	0.48886	78	50	-7.105	0.0178
CRK	90	37	-1.495	0.37783	138	44	5.33	0.89429	96	32	-2.321	0.25422	101	44	-3.212	0.06772	174	69	-4.894	0.00354	96	47	-3.01	0.1678	78	35	-0.584	0.44029
CRKL	90	43	-4.227	0.16692	138	79	0.52	0.5638	96	44	0.009	0.49967	101	50	-3.206	0.05645	174	100	1.158	0.79051	96	47	-6.461	0.02134	78	55	-3.634	0.12902
CRTAP	90	31	-6.194	0.11546	138	57	1.905	0.69674	96	48	-0.922	0.37639	101	61	-1.581	0.19088	174	67	-1.754	0.15723	96	50	0.686	0.58689	78	19	-4.292	0.21618
CRYZ	90	55	-17.904	1e-05	138	82	-6.898	0.01391	96	47	0.157	0.52234	101	42	-8.275	0.00019	174	87	-10.931	1e-05	96	27	0.434	0.54133	78	42	0.37	0.53947
CSK	90	51	-20.236	1e-05	138	75	0.263	0.53379	96	43	-1.886	0.27053	101	67	-3.227	0.03105	174	84	-6.392	0.0001	96	44	-11.932	0.00032	78	42	-15.257	6e-05
CSNK1A1	90	51	-4.2	0.14834	138	70	-1.854	0.29106	96	37	-8.053	0.01045	101	48	-2.851	0.08209	174	81	-2.977	0.03228	96	50	-1.958	0.25708	78	39	-2.326	0.27147
CSNK1E	90	41	-0.518	0.45059	138	53	2.858	0.77166	96	51	-2.958	0.14844	101	64	-1.341	0.22209	174	86	0.07	0.51669	96	38	0.062	0.50956	78	33	1.53	0.64775
CSNK2A2	90	26	-1.647	0.38479	138	55	-3.921	0.15141	96	37	-0.948	0.38835	101	26	0.047	0.50805	174	79	-0.523	0.37227	96	45	1.687	0.70358	78	50	0.575	0.56837
CSRP1	90	30	12.385	0.98782	138	55	-0.869	0.40964	96	61	-9.297	0.00027	101	42	-1.162	0.29445	174	53	-1.768	0.18195	96	45	-1.669	0.29882	78	29	-2.421	0.29368
CTNNAL1	90	62	-15.703	1e-05	138	87	-12.988	2e-05	96	62	-5.844	0.01233	101	57	-6.284	0.0007	174	110	-7.325	1e-05	96	58	-3.118	0.1333	78	49	-11.049	0.00062
CTNND1	90	39	5.525	0.88485	138	39	2.626	0.72076	96	35	-0.164	0.48336	101	32	1.507	0.73135	174	79	-0.379	0.40581	96	41	-0.798	0.40191	78	40	-1.475	0.34755
CTSD	90	37	1.141	0.59979	138	27	0.809	0.55789	96	30	0.752	0.58185	101	26	0.587	0.5886	174	92	-7.74	1e-05	96	14	-2.382	0.33159	78	27	1.491	0.62881
CTSL1	90	38	-14.634	0.00152	138	63	-7.919	0.01386	96	32	2.899	0.78968	101	35	-3.945	0.05257	174	48	-0.252	0.44887	96	44	-0.041	0.49445	78	31	3.057	0.7649
CTTN	90	47	-4.662	0.13282	138	69	-2.056	0.27093	96	40	-5.422	0.04837	101	70	-3.393	0.02186	174	81	-7.685	1e-05	96	43	-6.382	0.02709	78	29	6.447	0.92541
CXCL2	90	58	-2.084	0.29012	138	78	-1.471	0.32326	96	63	-8.925	0.00027	101	67	-2.809	0.0527	174	122	-2.688	0.02017	96	44	-1.834	0.28659	78	43	1.182	0.62587
CXCR4	90	50	-3.694	0.18015	138	76	2.144	0.74764	96	48	3.776	0.90023	101	49	2.531	0.89719	174	83	-1.708	0.13916	96	57	-5.263	0.03238	78	40	-2.278	0.27134
CYB561	90	50	-2.454	0.27151	138	85	-1.04	0.36734	96	50	-11.013	0.00014	101	20	7.266	0.98086	174	64	-6.123	0.00093	96	47	-2.099	0.24931	78	31	1.554	0.64395
CYCS	90	45	-1.387	0.37015	138	66	-8.098	0.01006	96	63	-17.811	1e-05	101	48	-2.08	0.1517	174	86	-6.705	5e-05	96	63	-1.588	0.27562	78	33	-6.005	0.0754
CYTH1	90	63	-14.093	5e-05	138	74	-6.949	0.01805	96	49	1.079	0.6452	101	61	-4.266	0.01022	174	94	-4.266	0.00263	96	44	-2.863	0.18836	78	31	-0.827	0.42291
DAG1	90	49	-16.008	5e-05	138	61	-14.041	0.00019	96	41	-14.746	1e-05	101	59	-8.707	1e-05	174	89	-10.246	1e-05	96	36	-7.972	0.01568	78	30	-18.902	0.0001
DAXX	90	54	-0.992	0.39765	138	74	4.058	0.89264	96	43	2.067	0.74794	101	72	-2.611	0.06008	174	100	-4.141	0.00262	96	47	1.0	0.62602	78	54	-4.938	0.06368
DCK	90	69	-17.396	1e-05	138	102	-14.054	1e-05	96	55	-9.086	0.00072	101	59	-11.154	1e-05	174	104	-9.283	1e-05	96	71	-11.14	2e-05	78	38	-13.7	0.00037
DCTD	90	42	-14.454	0.00091	138	55	-4.82	0.10329	96	58	-10.904	9e-05	101	46	-3.454	0.05081	174	80	-1.404	0.18979	96	59	-3.685	0.09401	78	22	1.175	0.5945
DCUN1D4	90	46	5.64	0.90873	138	82	-8.55	0.00339	96	41	-1.476	0.32269	101	78	-6.713	2e-05	174	70	2.385	0.91578	96	46	0.375	0.54669	78	37	-3.486	0.18545
DDB2	90	39	-13.043	0.00329	138	61	-14.08	0.00019	96	69	-4.96	0.02122	101	66	-8.511	1e-05	174	50	-4.521	0.01751	96	63	-10.514	6e-05	78	40	-23.217	1e-05
DDIT4	90	35	-19.883	7e-05	138	48	-17.517	5e-05	96	35	-13.644	0.00013	101	43	-15.882	1e-05	174	38	0.145	0.52486	96	41	-8.671	0.00637	78	30	-23.27	1e-05
DDR1	90	45	-6.705	0.05874	138	37	-1.316	0.39061	96	25	-0.18	0.48427	101	59	0.093	0.51932	174	61	-0.075	0.48564	96	31	-0.418	0.4564	78	25	0.599	0.55343
DDX10	90	42	-11.938	0.0047	138	72	-12.054	0.00016	96	49	-7.582	0.00553	101	52	-0.793	0.34536	174	103	-7.205	1e-05	96	50	0.364	0.5456	78	26	12.552	0.99381
DDX42	90	61	-14.168	9e-05	138	79	-1.127	0.3597	96	50	0.339	0.54494	101	36	-2.482	0.14645	174	87	-3.606	0.01146	96	34	-2.343	0.26073	78	34	-5.107	0.10586
DECR1	90	27	-4.374	0.21222	138	38	-10.874	0.01087	96	28	-1.125	0.37993	101	24	-5.3	0.03957	174	47	-2.84	0.0902	96	31	-1.811	0.3174	78	27	-0.593	0.44723
DENND2D	90	51	2.669	0.74773	138	90	-0.174	0.47699	96	44	-1.835	0.27371	101	55	-3.094	0.05299	174	78	-2.079	0.10298	96	55	-5.518	0.02895	78	36	7.834	0.97397
DERA	90	29	-2.534	0.3141	138	52	-3.491	0.18369	96	29	-0.166	0.48335	101	49	-3.047	0.06754	174	80	-7.709	1e-05	96	48	-7.89	0.00614	78	39	-1.06	0.39107
DFFA	90	44	2.096	0.6881	138	71	-2.49	0.22914	96	59	-3.673	0.08293	101	43	-1.364	0.25821	174	93	1.044	0.75913	96	44	-0.55	0.43227	78	55	0.896	0.60844
DFFB	90	43	-2.651	0.27198	138	70	-6.53	0.02652	96	41	-6.847	0.01857	101	58	-1.461	0.21467	174	86	-0.273	0.42905	96	64	-3.394	0.10309	78	45	-12.507	0.00032
DHDDS	90	55	6.869	0.96163	138	60	0.338	0.53435	96	61	0.256	0.53872	101	57	1.18	0.73613	174	111	-2.171	0.05606	96	42	1.35	0.65881	78	57	5.121	0.94823
DHRS7	90	36	-1.125	0.40739	138	54	0.719	0.57474	96	48	-0.402	0.44479	101	41	3.271	0.92899	174	69	0.794	0.67716	96	24	1.328	0.62297	78	12	5.898	0.80585
DHX29	90	57	-18.313	1e-05	138	98	-9.965	0.00032	96	60	-5.818	0.01322	101	58	-6.829	0.00017	174	99	-5.138	0.00035	96	61	-3.954	0.07433	78	35	-25.552	1e-05
DLD	90	34	5.75	0.87885	138	73	-1.401	0.33448	96	45	-9.607	0.00148	101	32	6.835	0.9938	174	89	-9.693	1e-05	96	52	-5.425	0.03484	78	25	-14.234	0.00318
DMTF1	90	45	0.153	0.51258	138	102	0.261	0.53728	96	50	3.209	0.86671	101	37	1.91	0.79808	174	108	-0.841	0.27362	96	57	-1.456	0.30408	78	39	-0.473	0.45178
DNAJA3	90	24	3.449	0.72192	138	29	1.709	0.63132	96	31	-0.385	0.45836	101	17	3.741	0.85926	174	44	1.999	0.82466	96	47	0.974	0.62313	78	34	-3.812	0.17429
DNAJB1	90	59	-21.847	1e-05	138	87	-10.774	0.00021	96	48	-0.467	0.43601	101	68	-9.887	1e-05	174	111	-7.638	1e-05	96	49	-6.907	0.01358	78	37	-7.095	0.03678
DNAJB2	90	48	-2.333	0.28849	138	51	2.622	0.74953	96	28	-1.91	0.30381	101	49	-1.945	0.16727	174	90	-0.163	0.45589	96	23	-1.763	0.34395	78	32	-0.399	0.45977
DNAJB6	90	32	4.096	0.79213	138	53	1.774	0.67917	96	47	0.565	0.57575	101	40	0.203	0.53776	174	61	-1.374	0.22709	96	41	1.414	0.66215	78	49	-0.242	0.47061
DNAJC15	90	42	-9.81	0.01523	138	100	-0.815	0.38722	96	52	-0.434	0.43742	101	47	-6.25	0.00202	174	66	-3.568	0.02485	96	35	0.274	0.5321	78	43	-10.482	0.00255
DNM1	90	47	-18.424	3e-05	138	47	-12.599	0.00179	96	30	-7.154	0.03205	101	48	-1.181	0.27872	174	81	-4.034	0.00663	96	48	1.406	0.67575	78	38	-20.902	1e-05
DNM1L	90	21	-0.412	0.47509	138	57	0.522	0.5575	96	44	-20.528	1e-05	101	42	3.573	0.94708	174	90	-5.753	0.00015	96	40	-0.845	0.399	78	33	1.839	0.67545
DNMT1	90	65	-13.9	5e-05	138	82	-15.558	2e-05	96	67	-9.414	0.00013	101	78	-10.419	1e-05	174	102	-8.017	1e-05	96	71	-14.13	1e-05	78	60	-13.725	3e-05
DNMT3A	90	42	2.071	0.68218	138	75	1.412	0.66805	96	40	0.441	0.55599	101	24	-1.399	0.30529	174	77	0.081	0.51862	96	26	0.343	0.5315	78	44	1.088	0.62045
DNTTIP2	90	60	-14.529	3e-05	138	85	-11.566	4e-05	96	37	-2.738	0.20391	101	74	-6.237	7e-05	174	113	-6.221	2e-05	96	70	0.291	0.54783	78	37	-12.661	0.00105
DPH2	90	50	-15.124	0.00019	138	98	-18.167	1e-05	96	61	-16.505	1e-05	101	84	-7.911	1e-05	174	104	-8.647	1e-05	96	65	-5.865	0.01363	78	39	-22.972	1e-05
DRAP1	90	36	-15.371	0.00126	138	43	2.331	0.70735	96	69	-12.163	1e-05	101	63	-1.523	0.19333	174	82	-10.128	1e-05	96	74	-5.695	0.01121	78	40	-13.855	0.00021
DSG2	90	54	4.457	0.87565	138	61	-1.259	0.36088	96	48	-5.083	0.04419	101	35	-2.401	0.15459	174	82	0.772	0.68794	96	29	4.933	0.89073	78	31	2.199	0.69916
DUSP11	90	34	2.471	0.69481	138	44	-3.588	0.19745	96	45	2.606	0.8066	101	30	0.562	0.58893	174	80	-1.155	0.23563	96	42	2.521	0.77785	78	46	-4.025	0.1255
DUSP14	90	36	-9.037	0.03243	138	58	-10.351	0.00333	96	66	-3.214	0.09893	101	66	-8.151	1e-05	174	100	-6.77	1e-05	96	64	-8.093	0.00155	78	32	-1.581	0.3524
DUSP22	90	53	2.654	0.75119	138	61	-0.798	0.40927	96	33	-2.887	0.20569	101	45	-5.755	0.00465	174	90	-3.22	0.01874	96	49	2.035	0.7465	78	33	-0.4	0.46141
DUSP3	90	48	-17.092	4e-05	138	58	-3.684	0.15852	96	59	-3.762	0.07791	101	53	-3.34	0.04437	174	72	-2.602	0.06461	96	26	-1.249	0.37923	78	34	-8.782	0.01804
DUSP4	90	33	-16.96	0.00074	138	62	-13.391	0.00017	96	52	-11.061	0.00012	101	46	-0.603	0.38426	174	79	-0.695	0.33248	96	45	-12.156	0.00027	78	14	4.506	0.76473
DUSP6	90	45	-17.468	7e-05	138	66	-11.675	0.00065	96	40	-2.273	0.24004	101	42	0.963	0.67485	174	73	-1.209	0.2358	96	45	-15.527	1e-05	78	25	-0.347	0.47252
DYNLT3	90	40	-23.168	1e-05	138	53	1.208	0.6244	96	45	0.925	0.62354	101	55	-4.267	0.01408	174	66	-8.217	3e-05	96	51	-6.724	0.01403	78	33	-0.255	0.47519
DYRK3	90	38	-7.218	0.06247	138	56	-5.964	0.05683	96	48	2.618	0.81399	101	72	1.614	0.83515	174	99	1.486	0.84951	96	58	2.219	0.78794	78	40	3.978	0.85447
E2F2	90	54	-5.805	0.06919	138	119	-5.853	0.01096	96	65	1.544	0.72871	101	65	-3.564	0.02245	174	107	-3.601	0.00541	96	59	-3.501	0.10537	78	56	-3.338	0.14659
EAPP	90	37	-6.321	0.09143	138	90	2.418	0.79572	96	60	0.429	0.56644	101	38	-4.947	0.01892	174	93	-2.6	0.04224	96	58	1.514	0.7079	78	50	-8.944	0.00456
EBNA1BP2	90	61	-12.849	0.00028	138	93	-13.418	1e-05	96	74	-16.9	1e-05	101	57	-9.603	1e-05	174	93	-11.636	1e-05	96	57	-9.177	0.00078	78	47	-16.958	1e-05
EBP	90	57	-20.662	1e-05	138	77	-10.369	0.00075	96	71	-12.663	1e-05	101	67	-10.383	1e-05	174	96	-12.103	1e-05	96	57	-13.064	1e-05	78	37	-18.539	2e-05
ECD	90	48	-13.105	0.00098	138	85	-5.528	0.03535	96	58	-7.586	0.00269	101	67	-5.955	0.00036	174	97	-9.881	1e-05	96	55	2.628	0.81785	78	29	-1.29	0.38664
ECH1	90	30	-9.767	0.03452	138	44	-6.272	0.07088	96	29	0.253	0.52718	101	37	-3.892	0.05098	174	53	-1.549	0.21255	96	24	0.168	0.51647	78	37	4.102	0.85428
EDEM1	90	34	-8.546	0.0438	138	70	3.049	0.816	96	30	-2.372	0.25912	101	57	-3.4	0.03533	174	96	-1.353	0.17657	96	32	-3.597	0.16916	78	40	-4.73	0.10504
EDN1	90	34	2.639	0.70669	138	68	-12.767	0.00027	96	41	0.783	0.59814	101	37	-1.945	0.19875	174	80	0.487	0.61858	96	39	1.723	0.69504	78	44	0.341	0.53898
EED	90	65	-23.987	1e-05	138	96	-18.383	1e-05	96	54	-16.337	1e-05	101	66	-10.334	1e-05	174	123	-10.678	1e-05	96	65	-18.609	1e-05	78	44	-19.664	1e-05
EGF	90	51	-8.919	0.01424	138	67	2.425	0.76343	96	53	-3.279	0.12112	101	47	-9.241	3e-05	174	91	-0.642	0.33591	96	46	0.547	0.56829	78	33	-15.355	0.0003
EGFR	90	49	-7.234	0.0406	138	53	-3.238	0.19986	96	33	2.505	0.76094	101	73	-3.604	0.01598	174	96	-3.56	0.00839	96	46	-1.788	0.28457	78	27	0.675	0.55941
EGR1	90	67	-8.654	0.00627	138	75	-1.683	0.30509	96	66	-8.753	0.00031	101	69	0.774	0.6756	174	96	-1.301	0.18631	96	57	-0.82	0.38616	78	50	-3.27	0.16459
