	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
ARHGEF6	90	54	-11.597	0.00191	138	71	-10.138	0.00138	96	33	-0.781	0.41033	101	58	-4.425	0.00949	174	95	-1.112	0.224	96	55	-3.401	0.1202	78	40	-16.411	4e-05
ARHGEF7	90	32	3.604	0.76463	138	42	-1.317	0.38002	96	32	-1.312	0.35647	101	35	0.837	0.64049	174	94	-1.173	0.2126	96	30	2.167	0.71347	78	36	-1.056	0.39281
ARHGEF9	90	31	-0.666	0.44908	138	46	-0.095	0.48958	96	47	3.035	0.84522	101	48	-2.163	0.14274	174	65	0.364	0.58208	96	46	-3.37	0.14193	78	41	-1.476	0.34584
ARID1A	90	50	-10.626	0.00541	138	83	-0.771	0.40081	96	36	-2.815	0.20386	101	60	-1.886	0.14917	174	86	-3.839	0.00765	96	53	-0.316	0.45876	78	34	-9.29	0.0136
ARID3A	90	39	-13.305	0.00271	138	84	-7.36	0.00836	96	43	-3.807	0.11385	101	42	0.616	0.61495	174	96	-0.323	0.41342	96	53	-0.872	0.38454	78	50	-8.477	0.0061
ARID3B	90	58	-22.278	1e-05	138	97	-13.026	2e-05	96	43	-3.983	0.10419	101	43	1.667	0.78119	174	90	-0.512	0.36663	96	64	-1.993	0.22844	78	46	-6.51	0.0334
ARID4A	90	52	-5.636	0.07893	138	75	-0.532	0.43636	96	32	-3.968	0.13731	101	46	-8.944	1e-05	174	76	-0.584	0.3608	96	53	-5.022	0.04547	78	22	-5.474	0.14239
ARID4B	90	43	-2.972	0.24919	138	46	-1.846	0.32879	96	33	-2.439	0.24478	101	30	-3.694	0.07831	174	55	-0.972	0.30793	96	44	-4.702	0.07363	78	27	2.362	0.70105
ARID5A	90	45	1.862	0.67007	138	43	2.055	0.68535	96	33	1.915	0.70721	101	25	1.296	0.68485	174	69	-1.159	0.25003	96	34	1.441	0.655	78	30	3.386	0.78275
ARID5B	90	52	1.952	0.68843	138	62	1.135	0.62361	96	41	-1.976	0.26478	101	36	0.216	0.54111	174	104	0.218	0.56083	96	38	0.222	0.52631	78	43	-0.422	0.45357
ARIH1	90	54	-10.697	0.00361	138	71	-2.081	0.26694	96	29	-0.31	0.46704	101	54	-1.919	0.1568	174	82	-1.798	0.12975	96	41	-2.467	0.22896	78	26	-1.147	0.39959
ARIH2	90	56	-13.381	0.00025	138	99	-20.503	1e-05	96	71	-10.083	3e-05	101	62	-5.504	0.00156	174	98	-7.206	1e-05	96	65	-14.67	1e-05	78	38	-19.738	1e-05
ARL1	90	51	-5.876	0.07242	138	71	-10.512	0.00096	96	37	-14.562	3e-05	101	57	-3.92	0.01947	174	95	-5.339	0.00029	96	45	-4.919	0.0637	78	23	5.582	0.86918
ARL14	90	39	4.916	0.85886	138	57	3.101	0.79963	96	59	-5.125	0.0268	101	50	2.291	0.87798	174	95	-0.801	0.29144	96	44	-1.162	0.35899	78	44	0.022	0.50113
ARL15	90	48	-3.008	0.23317	138	84	1.435	0.6807	96	61	-8.315	0.00092	101	55	-3.373	0.03941	174	106	-1.979	0.07911	96	64	-2.528	0.17239	78	58	-11.3	9e-05
ARL2	90	39	-10.141	0.01588	138	59	3.449	0.82783	96	46	-7.765	0.0064	101	69	-1.755	0.14898	174	69	-6.643	0.00025	96	36	4.037	0.86843	78	26	0.013	0.49916
ARL2BP	90	38	0.531	0.54431	138	52	-5.732	0.07245	96	51	-3.391	0.11737	101	49	-7.237	0.00032	174	97	0.05	0.51285	96	49	-5.637	0.034	78	43	-2.617	0.23546
ARL3	90	44	-11.927	0.00403	138	62	-11.904	0.00049	96	60	-8.822	0.00043	101	52	-9.597	2e-05	174	92	-10.291	1e-05	96	41	-5.105	0.06489	78	36	-12.898	0.00103
ARL4A	90	55	-3.88	0.15737	138	77	-3.213	0.15688	96	50	-9.077	0.00119	101	55	-3.822	0.02385	174	83	-7.703	1e-05	96	54	-7.537	0.00539	78	37	-9.824	0.00693
ARL4C	90	34	0.47	0.54215	138	65	-13.085	0.00018	96	57	-0.737	0.38855	101	34	-0.617	0.39498	174	74	-0.911	0.29236	96	35	0.696	0.57953	78	59	-9.135	0.00157
ARL4D	90	30	-2.16	0.3374	138	57	-2.124	0.2818	96	33	0.021	0.5017	101	65	-2.9	0.04987	174	70	-1.752	0.15357	96	39	0.853	0.59982	78	23	-0.835	0.43397
ARL5A	90	43	-7.253	0.04992	138	82	-1.185	0.34954	96	51	-4.962	0.04263	101	51	-1.323	0.25072	174	109	-6.661	1e-05	96	55	1.427	0.69055	78	26	-4.884	0.1481
ARL6IP1	90	64	-20.362	1e-05	138	82	-15.284	1e-05	96	48	3.09	0.85427	101	71	-6.287	9e-05	174	103	-5.107	0.00034	96	63	-14.252	1e-05	78	38	-9.302	0.00941
ARL6IP4	90	34	-11.983	0.00993	138	48	-3.889	0.16864	96	50	-2.18	0.22581	101	41	-0.391	0.42454	174	76	-4.55	0.00381	96	57	-9.449	0.00054	78	32	1.354	0.62615
ARL6IP5	90	44	-1.968	0.32555	138	49	-0.39	0.46068	96	31	-4.211	0.12776	101	44	-6.573	0.0019	174	76	-3.875	0.01112	96	37	4.137	0.87713	78	22	0.391	0.53126
ARL8B	90	38	-1.967	0.33459	138	49	1.568	0.65373	96	28	0.475	0.55446	101	53	-2.155	0.13108	174	63	-3.126	0.04577	96	17	-2.941	0.28071	78	29	1.379	0.6241
ARMC1	90	59	-1.687	0.32887	138	91	-13.318	2e-05	96	46	3.321	0.86424	101	46	-4.709	0.01385	174	93	0.098	0.52621	96	60	-10.191	0.00018	78	40	-18.17	1e-05
ARMC4	90	34	-9.698	0.0277	138	76	-3.174	0.16186	96	52	-2.373	0.19983	101	50	-4.386	0.01633	174	73	-1.066	0.26183	96	47	-1.686	0.29616	78	35	-2.187	0.29334
ARMC6	90	55	-21.357	1e-05	138	79	-6.669	0.01805	96	64	-15.34	1e-05	101	70	-3.959	0.01045	174	79	-6.46	0.00013	96	52	-11.44	0.00014	78	31	-12.983	0.00246
ARMC7	90	53	-12.689	0.0008	138	63	2.811	0.7874	96	59	-10.948	3e-05	101	64	-4.375	0.00735	174	85	-8.977	1e-05	96	56	-3.303	0.12466	78	31	3.869	0.81725
ARMC8	90	60	-23.222	1e-05	138	92	-8.115	0.00285	96	57	-9.828	0.00028	101	60	-3.086	0.04591	174	95	-7.226	1e-05	96	59	-11.722	3e-05	78	40	-16.045	5e-05
ARMC9	90	30	1.864	0.64039	138	53	-1.188	0.38067	96	28	2.416	0.74232	101	43	-1.567	0.23019	174	78	0.082	0.5202	96	25	0.102	0.50814	78	38	-0.34	0.46417
ARMCX1	90	33	2.898	0.72021	138	52	0.673	0.56872	96	37	3.132	0.82635	101	31	0.858	0.63754	174	74	-0.404	0.40556	96	40	-2.757	0.20555	78	38	6.153	0.94316
ARMCX2	90	42	2.005	0.67955	138	53	1.3	0.63382	96	39	2.708	0.79686	101	21	1.667	0.71302	174	94	-0.18	0.45097	96	33	1.659	0.67427	78	42	3.623	0.83851
ARMCX3	90	45	-2.6	0.27036	138	70	-3.609	0.14345	96	28	2.466	0.74641	101	58	-5.01	0.00417	174	86	-0.909	0.27721	96	55	2.091	0.76703	78	49	-0.271	0.46833
ARMCX4	90	35	-0.109	0.49128	138	65	0.656	0.57497	96	40	0.63	0.58231	101	37	-0.257	0.45575	174	74	-0.103	0.47683	96	33	-1.048	0.38919	78	50	0.853	0.59688
ARMCX5	90	45	1.563	0.64429	138	77	-10.031	0.00092	96	56	-6.629	0.00837	101	54	-0.876	0.32049	174	84	-3.997	0.00712	96	56	-0.035	0.49476	78	31	-3.17	0.22722
ARMCX6	90	47	0.084	0.50721	138	72	-5.175	0.05992	96	37	2.65	0.78699	101	56	-3.786	0.02294	174	74	-3.789	0.01402	96	57	-0.572	0.41699	78	46	-4.132	0.11977
ARNT	90	35	7.414	0.93497	138	68	0.65	0.57582	96	32	1.791	0.69204	101	43	0.087	0.51548	174	82	-3.09	0.02923	96	40	2.601	0.77966	78	31	-0.396	0.46221
ARNT2	90	30	5.421	0.84989	138	49	-4.004	0.15875	96	37	1.923	0.71966	101	33	0.492	0.57981	174	75	0.802	0.68713	96	34	2.341	0.74049	78	36	3.029	0.77809
ARNTL	90	54	-7.326	0.03036	138	55	2.26	0.72333	96	54	-4.377	0.05754	101	56	-6.314	0.00062	174	84	-2.641	0.04943	96	56	-9.484	0.00058	78	47	-6.22	0.03759
ARNTL2	90	60	-5.957	0.05387	138	91	-11.584	4e-05	96	70	-9.479	9e-05	101	57	-0.768	0.34047	174	106	-5.182	0.0002	96	62	-7.492	0.00357	78	51	-6.224	0.03073
ARPC1A	90	47	-14.706	0.00026	138	86	-10.507	0.00033	96	69	-10.61	1e-05	101	67	-8.946	1e-05	174	105	-7.361	1e-05	96	73	-5.326	0.01763	78	28	-8.855	0.02791
ARPC1B	90	45	-2.804	0.25407	138	69	-3.832	0.12912	96	34	-3.822	0.13746	101	54	-8.213	5e-05	174	80	-10.024	1e-05	96	58	-3.024	0.1414	78	41	-6.291	0.04547
ARPC2	90	55	-6.541	0.04688	138	63	-7.684	0.01634	96	47	-5.964	0.02431	101	49	-8.863	3e-05	174	90	3.657	0.99088	96	48	-2.287	0.23076	78	60	-5.229	0.04466
ARPC3	90	49	-10.541	0.0059	138	77	-4.936	0.06126	96	28	-8.1	0.02294	101	51	-4.436	0.01456	174	72	-0.998	0.27689	96	41	-0.794	0.40291	78	24	-2.622	0.29036
ARPC4	90	44	-8.375	0.02911	138	64	-7.298	0.01987	96	47	-5.944	0.02455	101	80	-5.461	0.00028	174	79	-6.092	0.00021	96	45	-4.882	0.06513	78	25	-1.713	0.35742
ARPC5	90	50	-10.633	0.00539	138	66	-8.939	0.00562	96	40	-9.853	0.00201	101	56	-10.515	1e-05	174	94	-8.569	1e-05	96	65	-7.77	0.00189	78	45	-3.89	0.13657
ARPC5L	90	54	-25.984	1e-05	138	92	-21.577	1e-05	96	58	-11.25	4e-05	101	71	-10.502	1e-05	174	90	-10.903	1e-05	96	63	-12.869	1e-05	78	43	-17.58	1e-05
ARPP19	90	54	-12.139	0.0013	138	67	-6.072	0.03992	96	35	-4.935	0.07723	101	61	-2.237	0.1087	174	68	-2.942	0.04951	96	49	3.62	0.8799	78	37	-11.649	0.00211
ARPP21	90	41	1.325	0.61705	138	72	0.926	0.61128	96	35	1.537	0.67415	101	61	1.457	0.79218	174	81	-0.294	0.42929	96	44	2.62	0.792	78	50	-7.58	0.01226
ARR3	90	39	-5.257	0.12752	138	85	-4.229	0.08468	96	49	-0.28	0.46489	101	55	-1.601	0.20049	174	95	-2.907	0.02558	96	62	-7.846	0.00249	78	42	0.357	0.5366
ARRB1	90	61	-10.601	0.00224	138	69	1.591	0.68046	96	49	-3.372	0.12505	101	51	-0.959	0.31342	174	105	-1.108	0.21236	96	48	1.176	0.64967	78	36	0.013	0.50004
ARRB2	90	35	-1.089	0.41151	138	55	1.268	0.62958	96	49	-0.314	0.46032	101	30	-3.169	0.10986	174	91	-2.189	0.07315	96	46	5.552	0.95989	78	54	4.72	0.92735
ARSA	90	38	-0.286	0.47409	138	41	0.182	0.51681	96	22	1.35	0.6264	101	29	-0.756	0.38424	174	77	2.088	0.89706	96	41	-0.551	0.43093	78	40	-0.697	0.42538
ARSB	90	51	-8.631	0.01709	138	74	-5.888	0.0366	96	49	-1.493	0.3048	101	47	-4.909	0.01087	174	95	-4.547	0.00187	96	56	-6.938	0.00811	78	60	-8.392	0.00286
ARSD	90	32	-1.125	0.41414	138	40	0.133	0.51012	96	38	-1.17	0.36015	101	18	0.868	0.61017	174	67	-1.075	0.26631	96	42	2.257	0.75171	78	38	2.72	0.76167
ARSE	90	43	0.745	0.56914	138	54	0.617	0.56504	96	36	-0.599	0.43112	101	21	-1.646	0.28732	174	100	0.685	0.68456	96	50	-4.268	0.08022	78	39	-0.601	0.43589
ARSF	90	43	1.207	0.61169	138	59	8.421	0.9881	96	41	2.738	0.8049	101	37	2.587	0.86823	174	96	0.46	0.62307	96	49	-6.782	0.01471	78	40	-14.673	7e-05
ARSJ	90	54	-6.12	0.05764	138	61	-9.115	0.00631	96	66	-7.748	0.00118	101	47	-4.782	0.01261	174	109	0.857	0.73247	96	51	-5.091	0.04569	78	49	3.518	0.84853
ART1	90	39	1.927	0.66623	138	58	-0.998	0.39464	96	52	-2.103	0.22724	101	47	2.964	0.9249	174	93	1.159	0.78198	96	43	2.197	0.74993	78	42	0.951	0.60015
ART3	90	52	-13.407	0.00062	138	72	-1.243	0.35488	96	73	-4.677	0.0261	101	74	-5.32	0.00064	174	103	-0.995	0.24031	96	65	-5.429	0.02161	78	39	-10.564	0.00368
ART4	90	45	3.517	0.79779	138	66	5.5	0.94357	96	40	-0.26	0.46976	101	58	-1.692	0.17924	174	89	-0.769	0.30508	96	39	5.039	0.9258	78	45	-3.248	0.17955
ARTN	90	50	1.302	0.62603	138	71	0.174	0.52206	96	67	-9.6	8e-05	101	45	2.399	0.87422	174	86	1.142	0.76957	96	54	-5.685	0.02737	78	52	-12.809	4e-05
ARVCF	90	44	8.315	0.97126	138	47	2.272	0.71077	96	41	1.494	0.68074	101	31	0.874	0.63984	174	72	-0.03	0.49379	96	37	-0.62	0.43002	78	27	0.918	0.58101
ASAH1	90	38	-2.448	0.29737	138	55	-3.019	0.21322	96	42	-1.648	0.2988	101	40	-2.579	0.12508	174	79	-3.394	0.01972	96	30	0.237	0.52416	78	24	5.374	0.86474
ASAP1	90	56	-14.834	9e-05	138	83	-11.59	7e-05	96	65	-10.374	3e-05	101	74	-4.223	0.00531	174	93	-8.836	1e-05	96	56	-4.286	0.06745	78	38	-15.152	8e-05
ASAP1-IT1	90	36	-5.682	0.11846	138	89	-4.572	0.06252	96	48	1.827	0.73537	101	60	-3.512	0.02793	174	86	-0.958	0.26675	96	42	-2.262	0.24492	78	34	0.957	0.59295
ASAP2	90	45	-2.074	0.31347	138	56	-8.87	0.01051	96	57	1.669	0.73124	101	56	0.767	0.66005	174	66	-3.377	0.03192	96	56	0.782	0.60706	78	31	-0.547	0.44839
ASAP3	90	36	-2.921	0.27029	138	45	-0.232	0.47554	96	31	-1.202	0.3704	101	56	1.331	0.76063	174	83	-0.331	0.41658	96	42	-3.21	0.16508	78	26	-4.045	0.19194
ASB1	90	52	1.502	0.64617	138	57	-9.223	0.00803	96	47	7.21	0.99129	101	49	-0.836	0.33708	174	79	0.642	0.65355	96	40	-3.456	0.1532	78	47	-0.984	0.38822
ASB13	90	40	-10.117	0.01443	138	58	1.244	0.63117	96	71	-5.561	0.01096	101	62	-2.841	0.05684	174	86	-7.772	1e-05	96	36	-0.872	0.39945	78	29	-3.334	0.22258
ASB4	90	57	2.153	0.7153	138	63	-4.348	0.11079	96	51	1.656	0.71986	101	37	-0.425	0.42625	174	73	-0.064	0.48582	96	53	-1.58	0.29545	78	49	-1.224	0.35847
ASB6	90	46	-13.88	0.00076	138	92	-16.961	1e-05	96	56	-9.223	0.00054	101	73	0.68	0.66114	174	98	-5.645	0.00013	96	53	-9.068	0.00136	78	39	-5.343	0.08142
ASB7	90	43	-9.937	0.01307	138	80	-3.85	0.1104	96	46	-16.297	1e-05	101	71	-7.844	1e-05	174	83	-3.04	0.0289	96	55	-9.864	0.00044	78	31	-11.482	0.00564
ASB8	90	35	-0.281	0.47734	138	60	-2.592	0.23765	96	40	0.537	0.57031	101	61	-1.043	0.28129	174	82	0.079	0.52199	96	44	-0.221	0.47229	78	41	-0.451	0.45207
ASB9	90	41	-10.35	0.01246	138	51	-5.811	0.07089	96	47	-10.404	0.00044	101	63	-5.955	0.00052	174	73	-6.414	0.00017	96	54	-2.977	0.15572	78	33	-0.602	0.4409
ASCC1	90	38	2.608	0.71319	138	41	3.429	0.78124	96	32	0.861	0.59564	101	57	-2.965	0.05734	174	60	0.001	0.50265	96	35	-0.32	0.46595	78	27	1.759	0.65272
ASCC2	90	46	-2.398	0.2868	138	83	-13.528	1e-05	96	50	-13.09	1e-05	101	63	-1.14	0.26147	174	111	0.224	0.56953	96	41	-2.991	0.18412	78	41	-6.449	0.04145
ASCC3	90	54	-19.895	1e-05	138	79	-17.257	1e-05	96	54	-12.315	2e-05	101	77	-8.95	1e-05	174	92	-9.799	1e-05	96	76	-8.383	0.00036	78	37	-17.08	2e-05
ASCL1	90	39	2.531	0.71374	138	64	-3.762	0.14398	96	72	-3.646	0.06396	101	36	-1.391	0.27567	174	94	-0.37	0.40036	96	33	0.933	0.60067	78	40	0.35	0.53743
ASCL2	90	40	-4.341	0.1693	138	70	-3.713	0.1368	96	60	-1.415	0.29488	101	42	-0.549	0.39989	174	102	0.573	0.65687	96	50	0.421	0.55813	78	51	-3.2	0.16669
ASCL3	90	53	-0.051	0.49659	138	65	0.963	0.60912	96	35	-2.528	0.22815	101	50	0.873	0.67503	174	89	0.876	0.71887	96	39	0.037	0.50442	78	39	4.672	0.88838
ASF1A	90	44	-17.142	7e-05	138	91	-16.389	1e-05	96	57	-7.203	0.00453	101	64	-12.54	1e-05	174	114	-8.922	1e-05	96	71	-11.796	1e-05	78	39	-21.598	1e-05
ASF1B	90	62	-22.892	1e-05	138	84	-28.043	1e-05	96	69	-10.271	1e-05	101	72	-10.069	1e-05	174	111	-12.083	1e-05	96	72	-20.211	1e-05	78	42	-26.453	1e-05
ASGR1	90	31	7.512	0.92452	138	43	-3.703	0.19587	96	38	-1.095	0.36933	101	34	0.663	0.61024	174	84	-0.71	0.32456	96	34	2.052	0.71424	78	38	-4.135	0.14216
ASGR2	90	35	4.385	0.81817	138	52	-4.667	0.11658	96	41	-1.121	0.3581	101	39	-6.416	0.00396	174	92	0.775	0.70049	96	42	4.624	0.9168	78	45	0.943	0.60561
ASH1L	90	58	-11.175	0.00143	138	80	-2.147	0.24609	96	54	-9.043	0.001	101	59	-3.486	0.03013	174	121	-6.976	1e-05	96	51	-8.503	0.0029	78	44	-5.421	0.06653
ASH2L	90	63	-15.742	2e-05	138	78	-5.313	0.04846	96	58	-6.559	0.00811	101	68	-10.237	1e-05	174	94	-8.307	1e-05	96	63	-7.03	0.00478	78	38	-12.699	0.0008
ASIP	90	36	3.721	0.78488	138	79	-0.562	0.42905	96	46	1.742	0.71854	101	45	0.749	0.6435	174	78	0.834	0.69657	96	50	-0.497	0.43602	78	54	-2.044	0.26124
ASL	90	36	6.151	0.90126	138	54	-2.018	0.29881	96	59	-0.446	0.43284	101	48	-1.13	0.28735	174	65	2.047	0.87379	96	38	1.675	0.68766	78	30	0.857	0.5782
ASMT	90	42	-1.48	0.36927	138	52	1.821	0.67965	96	36	-0.988	0.38699	101	40	0.946	0.66797	174	48	-1.95	0.17216	96	44	0.721	0.58884	78	35	-5.235	0.09971
ASMTL	90	35	0.059	0.50499	138	55	-1.113	0.38466	96	31	4.919	0.90622	101	30	-0.511	0.41796	174	52	-1.123	0.2834	96	33	2.457	0.7483	78	23	-0.035	0.49943
ASMTL-AS1	90	57	-2.845	0.22881	138	84	-4.358	0.07725	96	71	0.876	0.64174	101	56	-2.111	0.13039	174	101	0.997	0.7581	96	54	2.861	0.83764	78	50	-0.643	0.42157
ASNA1	90	45	-13.474	0.00112	138	58	0.537	0.55703	96	43	-2.024	0.25849	101	52	-2.827	0.07554	174	79	-0.414	0.39703	96	46	-2.424	0.21945	78	32	3.053	0.7662
ASNS	90	36	-14.932	0.00161	138	95	-12.45	2e-05	96	37	-10.307	0.00171	101	62	-8.806	1e-05	174	101	0.517	0.64152	96	54	-1.972	0.25108	78	29	-6.581	0.06991
ASNSD1	90	55	-17.686	1e-05	138	100	-18.929	1e-05	96	60	-10.158	0.0001	101	60	-8.674	2e-05	174	109	-9.678	1e-05	96	58	-13.885	1e-05	78	42	-7.626	0.01967
ASPA	90	50	-8.774	0.01717	138	79	-8.707	0.00296	96	61	-5.026	0.02767	101	55	-7.104	0.00013	174	120	-8.406	1e-05	96	56	-0.446	0.43671	78	43	-2.868	0.21409
ASPH	90	55	4.516	0.87721	138	58	-12.586	0.00058	96	56	-9.155	0.00058	101	52	-2.701	0.08489	174	79	-0.232	0.44149	96	43	-3.609	0.13612	78	33	3.265	0.78506
ASPHD1	90	44	-6.767	0.06117	138	74	-4.586	0.07961	96	44	-8.032	0.00596	101	34	-1.687	0.23714	174	61	-2.085	0.13175	96	44	-2.965	0.17826	78	47	-1.627	0.31887
ASPM	90	66	-20.692	1e-05	138	91	-26.578	1e-05	96	32	0.641	0.57204	101	78	-6.373	5e-05	174	100	-5.377	0.00017	96	70	-14.656	1e-05	78	49	-13.784	5e-05
ASPN	90	36	2.036	0.6682	138	57	-6.521	0.04175	96	49	2.746	0.8283	101	32	-0.597	0.40158	174	94	0.737	0.69076	96	50	-2.544	0.20068	78	42	0.157	0.51457
ASPSCR1	90	39	-11.446	0.00791	138	66	-3.86	0.13352	96	37	2.716	0.79226	101	54	0.351	0.57174	174	93	-4.918	0.00076	96	45	-0.012	0.49887	78	25	3.546	0.77183
ASRGL1	90	34	-3.767	0.2219	138	61	-1.49	0.33732	96	58	-1.345	0.30704	101	46	-3.356	0.0557	174	95	-5.609	0.0002	96	39	-2.507	0.2319	78	35	-12.373	0.0019
ASS1	90	29	3.035	0.71495	138	62	-6.145	0.04417	96	26	-9.364	0.01407	101	53	-3.756	0.02778	174	60	0.714	0.65349	96	35	0.457	0.55244	78	44	0.058	0.5056
ASTE1	90	53	-4.101	0.14858	138	84	-9.936	0.00046	96	64	-6.443	0.00587	101	49	-5.078	0.00724	174	100	-6.716	1e-05	96	56	-1.972	0.24446	78	48	-6.379	0.03323
ASTN1	90	45	-7.208	0.04663	138	83	-9.064	0.0017	96	39	-2.029	0.26633	101	31	2.131	0.80394	174	91	-1.23	0.20649	96	49	-3.226	0.14563	78	49	-6.136	0.03649
ASTN2	90	48	-5.058	0.11032	138	89	-14.238	1e-05	96	49	-1.142	0.34891	101	61	-4.11	0.01274	174	85	-3.946	0.00721	96	47	-1.906	0.27168	78	38	-12.172	0.00117
ASXL1	90	55	-10.63	0.00353	138	63	-2.475	0.24299	96	51	2.735	0.83204	101	67	-2.992	0.04257	174	90	-3.213	0.01809	96	61	-4.016	0.07123	78	24	-7.812	0.06012
ASXL2	90	53	-10.821	0.00341	138	73	-6.435	0.02567	96	37	-0.31	0.46158	101	48	-2.04	0.1567	174	75	5.583	0.99934	96	58	-0.341	0.45101	78	36	-4.476	0.1283
ATAD2	90	61	-20.755	1e-05	138	90	-25.745	1e-05	96	67	-3.179	0.10037	101	77	-11.264	1e-05	174	122	-11.571	1e-05	96	70	-16.719	1e-05	78	51	-23.294	1e-05
ATAD2B	90	56	-17.009	3e-05	138	71	-10.97	0.0006	96	36	-5.744	0.04878	101	81	-4.733	0.00117	174	92	-8.942	1e-05	96	53	-8.134	0.00338	78	34	-2.566	0.26437
ATAD3A	90	59	-21.478	1e-05	138	93	-16.798	1e-05	96	74	-12.908	1e-05	101	67	-0.099	0.47471	174	106	-9.931	1e-05	96	64	-6.62	0.00723	78	35	-24.212	1e-05
ATAD5	90	64	-20.753	1e-05	138	103	-18.021	1e-05	96	68	-5.297	0.01688	101	66	-9.498	1e-05	174	108	-9.836	1e-05	96	55	-4.842	0.04805	78	52	-13.83	3e-05
ATAT1	90	28	-4.852	0.18439	138	57	3.675	0.83958	96	48	2.273	0.78288	101	62	-1.351	0.22438	174	88	-2.57	0.04899	96	35	8.901	0.99157	78	31	6.861	0.94198
ATF1	90	56	-16.755	3e-05	138	93	-9.277	0.0008	96	64	-5.263	0.01919	101	64	-7.041	6e-05	174	93	-7.696	1e-05	96	68	-9.543	0.00018	78	36	-5.53	0.08171
ATF2	90	45	-7.909	0.03308	138	95	-10.293	0.00019	96	34	0.034	0.50331	101	46	-4.271	0.02236	174	66	-3.053	0.04571	96	50	-2.896	0.1702	78	35	-1.313	0.37116
ATF3	90	37	9.698	0.97765	138	70	1.955	0.71968	96	44	0.774	0.60082	101	69	-4.985	0.00205	174	88	0.588	0.65084	96	25	6.076	0.9161	78	47	-1.24	0.36024
ATF4	90	40	0.836	0.57561	138	69	-2.136	0.26477	96	43	-0.998	0.3733	101	57	-1.005	0.29563	174	60	-0.583	0.37677	96	25	9.164	0.97774	78	33	-1.444	0.36412
ATF5	90	47	-7.65	0.03511	138	65	2.756	0.78464	96	55	-12.16	3e-05	101	67	-9.242	1e-05	174	85	-4.142	0.00517	96	42	-5.758	0.04318	78	39	-6.761	0.04004
ATF6	90	36	2.469	0.70135	138	61	2.234	0.7335	96	40	-0.885	0.3936	101	49	-5.489	0.00402	174	82	0.714	0.6766	96	47	-1.474	0.32009	78	32	3.09	0.7688
ATF6B	90	49	-2.48	0.27381	138	76	-9.151	0.0026	96	51	-0.523	0.42666	101	76	-2.618	0.05359	174	90	-1.798	0.11808	96	44	-0.453	0.44381	78	25	-1.512	0.37327
ATF7	90	34	0.857	0.57366	138	51	2.591	0.74442	96	42	-1.862	0.2747	101	71	-3.196	0.02889	174	75	3.205	0.97155	96	38	5.295	0.93528	78	31	-6.353	0.07055
ATF7IP	90	38	1.814	0.6519	138	79	1.137	0.64084	96	43	1.119	0.64216	101	35	0.714	0.62068	174	73	1.002	0.72529	96	48	-3.361	0.1393	78	31	4.145	0.83273
ATF7IP2	90	40	-6.031	0.09327	138	65	-5.575	0.05677	96	29	-6.462	0.0481	101	36	0.556	0.60001	174	68	-0.869	0.30483	96	37	2.645	0.77147	78	40	3.437	0.8202
ATG10	90	53	0.594	0.56206	138	61	0.024	0.50062	96	47	-4.311	0.0754	101	53	-4.762	0.00851	174	91	-0.174	0.45321	96	38	-1.881	0.29354	78	41	-5.551	0.06807
ATG12	90	30	1.32	0.60025	138	57	0.322	0.53234	96	28	-0.881	0.41161	101	38	-2.823	0.10966	174	72	0.772	0.68035	96	38	-1.047	0.38055	78	44	-1.077	0.37964
ATG13	90	42	1.959	0.67537	138	62	-6.229	0.04175	96	45	0.186	0.52689	101	52	2.421	0.89271	174	68	-0.659	0.34824	96	40	1.393	0.66031	78	26	2.734	0.72222
ATG14	90	23	-6.438	0.14104	138	59	-4.49	0.11218	96	27	1.006	0.60352	101	27	-3.771	0.08543	174	74	-0.668	0.34484	96	25	-3.043	0.2358	78	26	-0.042	0.49433
ATG16L1	90	35	-3.546	0.23085	138	82	-6.234	0.02244	96	47	1.528	0.69626	101	40	-1.517	0.24596	174	82	-2.312	0.07558	96	59	-7.651	0.0035	78	39	1.986	0.69922
ATG2A	90	43	-2.234	0.30467	138	60	3.174	0.80824	96	40	-1.666	0.30431	101	42	-2.589	0.11779	174	68	-1.446	0.20255	96	32	-1.355	0.35967	78	22	0.312	0.52492
ATG2B	90	42	-6.911	0.06158	138	80	2.592	0.79575	96	42	2.397	0.77821	101	43	-4.636	0.01831	174	77	-1.361	0.20182	96	61	-1.364	0.30845	78	25	-2.07	0.33089
