	empirical_pVal (A375)	empirical_pVal (A549)	empirical_pVal (BT20)	empirical_pVal (LNCAP)	empirical_pVal (MCF7)	empirical_pVal (MDAMB231)	empirical_pVal (PC3)	Ave_pVal
NUDCD3	0.41005	0.14151	0.01095	0.02208	0.15235	0.00679	0.15284	0.128081428571
HMGA2	3e-05	1e-05	0.48275	0.04487	0.06899	0.02703	0.28247	0.12945
KIF14	1e-05	1e-05	0.91299	2e-05	0.00016	1e-05	5e-05	0.130464285714
DRAP1	0.00126	0.70735	1e-05	0.19333	1e-05	0.01121	0.00021	0.130482857143
MAPK13	0.00448	0.24627	0.00169	0.43387	0.01891	0.02373	0.18644	0.13077
EIF4G1	1e-05	1e-05	0.00024	2e-05	1e-05	0.92579	0.00016	0.13232
MAP4K4	0.01684	0.00775	0.00058	0.00374	0.00018	0.00022	0.89855	0.132551428571
ATP1B1	0.00123	0.01676	2e-05	0.00919	1e-05	0.39404	0.50929	0.132934285714
RHOA	0.01404	0.43121	0.00137	1e-05	5e-05	0.47971	0.00787	0.133465714286
KIF20A	1e-05	1e-05	0.92187	1e-05	0.00098	0.00177	0.00968	0.133475714286
PPIE	0.00918	1e-05	0.06799	0.09027	0.27981	0.26943	0.22065	0.133905714286
CDKN1A	0.08185	0.24957	0.48563	1e-05	0.08968	0.01433	0.01793	0.134142857143
BCL2	0.00394	0.42354	0.49593	0.01011	1e-05	0.00426	0.00215	0.134277142857
RRAGA	0.10644	0.13809	0.04752	0.00146	1e-05	0.65195	0.00485	0.13576
CD320	0.00346	1e-05	0.00424	0.08994	1e-05	2e-05	0.85648	0.136308571429
TIAM1	2e-05	0.0002	0.17758	0.75513	0.02268	8e-05	0.00333	0.137002857143
USP22	0.05464	0.02039	0.24043	0.00615	0.34021	0.07738	0.22717	0.138052857143
COPB2	0.03529	0.00167	0.00101	0.02389	2e-05	0.77592	0.13005	0.138264285714
GLOD4	0.00143	0.39341	0.4883	0.01368	0.04344	0.01349	0.02647	0.140031428571
CCNB1	1e-05	1e-05	0.6346	0.31676	0.00141	0.02612	0.00633	0.140748571429
ITGB5	3e-05	0.0003	0.04608	0.17237	0.43882	0.00095	0.32682	0.140767142857
LOXL1	0.1277	0.70496	0.00179	0.1262	0.00026	0.03216	0.00069	0.141965714286
DNM1	3e-05	0.00179	0.03205	0.27872	0.00663	0.67575	1e-05	0.14214
KCNK1	0.00297	0.22835	0.16837	0.00084	0.04272	0.53909	0.01543	0.142538571429
INPP4B	0.00043	0.43075	0.00305	0.00087	0.29476	0.1183	0.15404	0.143171428571
SLC25A13	1e-05	0.05333	0.04143	0.72236	0.00173	0.16282	0.02103	0.143244285714
CASP7	0.00077	6e-05	3e-05	1e-05	1e-05	0.00817	0.99414	0.143312857143
WRB	0.06699	3e-05	0.06925	0.00554	1e-05	0.6963	0.16559	0.143387142857
ZDHHC6	0.00036	0.18627	0.14581	0.10989	1e-05	4e-05	0.56368	0.143722857143
MTERFD1	0.00142	1e-05	0.41714	0.11044	0.00363	0.47702	1e-05	0.144238571429
RAB4A	0.01029	0.28561	0.46075	0.15062	0.04076	0.01759	0.051	0.145231428571
SLC25A4	0.26456	0.21771	0.04596	0.0001	1e-05	0.06024	0.43235	0.145847142857
FAH	0.98259	0.02508	1e-05	1e-05	1e-05	0.01354	0.00035	0.145941428571
MYO10	1e-05	0.00078	0.30385	0.00012	0.00018	0.00372	0.72097	0.14709
DCTD	0.00091	0.10329	9e-05	0.05081	0.18979	0.09401	0.5945	0.147628571429
XPO7	0.12907	0.00013	0.34385	0.00257	1e-05	0.30697	0.25257	0.147881428571
BIRC2	3e-05	0.04477	0.46694	0.0026	0.07593	0.03036	0.41581	0.148062857143
IKBKE	0.05467	0.62813	1e-05	0.00469	0.03534	0.20728	0.1065	0.148088571429
TLE1	0.01923	0.42655	0.17537	0.01087	0.07025	0.12017	0.21556	0.148285714286
SCYL3	0.02478	0.3399	0.09567	0.18374	0.30585	0.0535	0.03667	0.148587142857
PLEKHJ1	0.07904	0.36797	0.42114	0.00305	0.16533	0.00038	0.00663	0.149077142857
PRKCH	0.00065	0.37047	0.00099	0.02789	0.04843	0.59183	0.00581	0.149438571429
PIK3C2B	0.40105	0.19444	1e-05	8e-05	0.04493	0.38616	0.02923	0.150842857143
PDIA5	0.0208	0.00032	0.46252	0.06445	4e-05	0.32223	0.19136	0.151674285714
GAPDH	3e-05	0.19904	0.16509	0.12694	1e-05	0.20809	0.36373	0.151847142857
DFFB	0.27198	0.02652	0.01857	0.21467	0.42905	0.10309	0.00032	0.152028571429
TPM1	0.0001	0.3661	1e-05	0.19297	1e-05	0.31254	0.19832	0.152864285714
RAB27A	0.03441	0.31735	0.26618	0.01079	0.08802	0.28601	0.06781	0.152938571429
HN1L	1e-05	0.00629	0.00066	1e-05	0.00076	0.47272	0.59654	0.153855714286
TMEM2	1e-05	0.03935	2e-05	0.00357	0.64903	0.19625	0.19262	0.154407142857
NUCB2	0.00022	2e-05	0.00875	0.00013	0.3611	0.06227	0.65165	0.154877142857
POLB	0.46145	0.00731	0.16584	0.02087	0.42876	0.00049	1e-05	0.154961428571
RGS2	0.00075	1e-05	0.4335	0.45429	0.09209	0.10181	0.00299	0.155062857143
E2F2	0.06919	0.01096	0.72871	0.02245	0.00541	0.10537	0.14659	0.155525714286
EVL	0.29256	0.11925	0.00128	0.40116	0.26769	0.00541	0.00509	0.156062857143
FDFT1	0.00473	0.31086	0.00166	2e-05	0.04974	0.72555	1e-05	0.156081428571
CSNK1A1	0.14834	0.29106	0.01045	0.08209	0.03228	0.25708	0.27147	0.15611
OXCT1	0.00158	0.96843	0.0001	0.10461	2e-05	0.0294	1e-05	0.157735714286
VGLL4	0.02311	0.07668	0.39669	0.19452	0.04658	0.19938	0.17018	0.158162857143
INPP1	0.44206	6e-05	0.0002	0.60364	0.06107	0.00758	1e-05	0.159231428571
FOSL1	1e-05	1e-05	1e-05	0.59235	0.52449	2e-05	1e-05	0.159557142857
PFKL	0.01254	0.42942	0.10178	0.38031	0.00406	0.1795	0.01404	0.160235714286
SRC	0.03784	0.00012	0.02348	0.88781	0.12835	0.01977	0.02931	0.160954285714
CASP3	5e-05	0.03	0.58286	0.05255	0.45214	0.00943	0.00589	0.161845714286
PHF15	3e-05	0.24364	0.46077	0.42855	1e-05	0.00108	0.00023	0.162044285714
STAT1	0.01052	0.3743	0.12777	1e-05	0.001	0.00528	0.62021	0.162727142857
SLC25A46	0.58399	0.02065	0.09223	0.06193	0.02757	0.22692	0.12923	0.163217142857
TMCO1	0.00043	0.00038	0.46302	0.08454	8e-05	0.17399	0.42323	0.163667142857
NCAPD2	0.36966	1e-05	0.71133	0.0007	0.06916	0.00056	0.00013	0.164507142857
CAB39	1e-05	0.0813	0.56087	0.16006	0.14437	0.00023	0.20713	0.164852857143
CEBPA	0.59535	0.26555	0.02361	0.01175	1e-05	0.2595	1e-05	0.165111428571
AKT1	0.02004	0.98353	0.00087	0.00566	6e-05	0.14678	3e-05	0.165281428571
TSKU	0.05972	0.29909	0.00266	0.31131	0.00021	0.1148	0.37013	0.165417142857
GTF2E2	1e-05	0.01358	0.03721	0.02941	0.1791	0.91063	0.00031	0.167178571429
PLS1	0.00285	0.01802	0.07181	7e-05	0.31119	0.00954	0.76164	0.167874285714
SMARCA4	1e-05	0.73979	0.05234	1e-05	1e-05	0.30242	0.08335	0.168275714286
GALE	0.28336	0.62554	1e-05	1e-05	1e-05	0.23812	0.03292	0.168567142857
ABCC5	4e-05	0.63021	0.11724	0.26611	0.07419	0.075	0.0212	0.169141428571
UBE3B	0.04525	0.15906	0.21895	0.07796	0.3637	0.19627	0.12344	0.169232857143
TWF2	0.0022	0.78546	0.08277	1e-05	0.21114	0.11247	0.00016	0.170601428571
WASF3	0.76432	0.40393	6e-05	0.01979	0.00145	9e-05	0.0114	0.171577142857
KIF5C	1e-05	0.00567	0.72848	0.43531	0.0122	0.00014	0.02284	0.172092857143
CDC20	1e-05	0.0006	0.20559	0.01077	1e-05	0.00084	0.98883	0.172378571429
RALA	0.03915	0.1659	0.06282	0.13009	0.02894	0.69061	0.09039	0.172557142857
CCNH	0.73915	0.00476	0.44147	1e-05	0.00033	0.01072	0.01171	0.172592857143
RHEB	1e-05	0.06035	0.51405	1e-05	0.00166	0.26149	0.37157	0.172734285714
STAMBP	0.4143	0.05509	0.00941	1e-05	2e-05	0.36495	0.3665	0.172897142857
IKBKB	0.31846	0.22448	0.10425	0.14744	0.36826	0.02072	0.02935	0.17328
MAT2A	0.00068	0.49085	0.05045	0.01252	0.31441	0.00967	0.33504	0.173374285714
RRP12	0.75302	0.16346	1e-05	0.03166	0.15153	0.10106	0.02324	0.174854285714
SLC35F2	4e-05	1e-05	0.02857	0.0109	0.67505	0.22889	0.2812	0.174951428571
ENOPH1	0.16226	0.02213	0.00228	0.99789	0.02017	0.01317	0.01567	0.176224285714
NUSAP1	0.00079	0.17278	0.95763	0.00108	2e-05	3e-05	0.10587	0.176885714286
GNB5	0.01452	0.51548	6e-05	0.02409	0.00272	0.68347	1e-05	0.177192857143
ECD	0.00098	0.03535	0.00269	0.00036	1e-05	0.81785	0.38664	0.177697142857
PLP2	0.01602	0.31262	0.19021	0.10699	0.24823	0.00043	0.37373	0.178318571429
BLCAP	0.13821	0.08534	0.0146	0.05504	0.27752	0.46422	0.21757	0.178928571429
CCDC90A	0.00609	0.00301	0.00038	0.16831	0.5367	0.06164	0.47924	0.179338571429
ARPP19	2e-05	0.05293	0.18605	0.00041	0.20508	0.76997	0.04439	0.179835714286
KIF2C	0.03522	0.03319	0.0155	0.47171	0.0062	0.24135	0.46725	0.181488571429
PLA2G15	0.06933	0.14104	0.01155	0.02991	0.00016	0.76349	0.25748	0.181851428571
BHLHE40	0.02373	2e-05	0.08281	0.18692	0.43281	0.54757	7e-05	0.18199
PPP2R3C	0.24791	0.00264	0.00052	0.83703	0.10927	0.04137	0.03676	0.182214285714
PPIC	0.57487	0.04612	0.00152	6e-05	0.42496	0.10514	0.12357	0.18232
CYTH1	5e-05	0.01805	0.6452	0.01022	0.00263	0.18836	0.42291	0.183917142857
TXNRD1	0.0024	0.92567	0.1416	1e-05	0.0003	0.22043	8e-05	0.184355714286
IGHMBP2	1e-05	0.00013	0.0632	0.83568	0.39517	0.00116	0.00231	0.18538
CCDC86	0.00079	0.00023	0.04485	0.01288	0.54577	0.67439	0.01889	0.1854
RPIA	0.00607	1e-05	0.15436	0.57634	0.05164	0.01831	0.49493	0.185951428571
SMNDC1	1e-05	0.00107	0.16251	2e-05	0.77924	0.36051	1e-05	0.186195714286
GTPBP8	0.17443	0.71873	0.05006	0.01461	0.00318	0.18081	0.16691	0.186961428571
IGF2BP2	0.00141	0.00067	0.00967	0.16883	0.675	0.37062	0.08492	0.187302857143
RPS6KA1	0.00683	0.00812	0.00164	2e-05	1e-05	0.67631	0.62398	0.18813
PTGS2	0.04308	0.00223	0.40787	0.11795	0.0004	0.65339	0.09455	0.188495714286
NRIP1	0.01826	0.6651	5e-05	0.02972	0.42627	0.11837	0.06439	0.18888
HOXA10	0.87922	0.00019	0.02597	3e-05	3e-05	0.28368	0.14121	0.190047142857
PTPN1	0.00273	0.06758	0.45979	0.07181	0.10182	0.62671	3e-05	0.190067142857
SMC1A	0.2929	1e-05	0.64553	0.20361	1e-05	0.18726	0.00605	0.190767142857
CASC3	0.54121	0.00128	0.02843	0.07376	0.03031	0.63962	0.02137	0.190854285714
CNOT4	0.00088	0.18706	0.06697	0.00045	9e-05	0.17188	0.91236	0.191384285714
POLR1C	0.83843	0.00377	0.00113	0.00059	0.00577	0.23441	0.25717	0.19161
ANO10	0.24737	0.26184	0.00903	0.00199	4e-05	0.25883	0.56242	0.191645714286
HSPA8	0.00013	0.4939	1e-05	0.01533	1e-05	0.04365	0.7944	0.19249
YTHDF1	0.01024	0.05147	0.00197	0.14554	0.96187	0.16325	0.02184	0.19374
STX1A	3e-05	3e-05	0.87152	0.08607	0.10585	0.00019	0.29251	0.193742857143
CPSF4	0.0025	0.00032	0.4713	0.07448	0.31244	0.43986	0.05693	0.193975714286
MRPS16	0.25317	0.26534	0.03352	0.32865	0.00888	0.18474	0.28656	0.194408571429
METRN	0.03637	0.29032	0.14833	0.0767	0.01043	0.09203	0.71342	0.195371428571
PGAM1	1e-05	0.30978	0.00038	0.99995	1e-05	0.03866	0.0213	0.195727142857
RSU1	3e-05	0.35212	0.0442	0.00638	0.20413	0.76371	0.00011	0.195811428571
PCNA	1e-05	0.1138	0.38301	0.00053	1e-05	1e-05	0.88031	0.196811428571
BUB1B	0.00336	1e-05	0.72996	1e-05	0.63093	0.01711	0.00048	0.197408571429
TRAPPC3	0.05131	0.42166	0.05179	0.00376	0.05688	0.09093	0.70913	0.197922857143
JUN	0.20015	0.791	0.07358	0.02365	0.25635	0.04072	6e-05	0.19793
TOR1A	0.04609	0.46286	0.01064	0.00112	0.02856	0.69415	0.14546	0.198411428571
TP53	0.22014	0.20491	0.00025	0.00095	0.45254	0.37111	0.13945	0.198478571429
DNAJC15	0.01523	0.38722	0.43742	0.00202	0.02485	0.5321	0.00255	0.200198571429
LGMN	6e-05	0.10844	0.2755	0.09991	4e-05	0.92031	0.0008	0.200722857143
MAMLD1	0.47066	0.43401	1e-05	0.48881	0.01267	2e-05	0.00407	0.201464285714
SORBS3	0.39173	0.18883	0.56042	0.15966	0.10062	0.00924	0.00057	0.201581428571
MAPK1IP1L	0.00059	0.40225	0.44056	1e-05	0.00307	0.11623	0.45264	0.202192857143
UGDH	0.40762	0.01626	0.29475	0.00018	0.00434	0.68789	0.01006	0.203014285714
CTTN	0.13282	0.27093	0.04837	0.02186	1e-05	0.02709	0.92541	0.203784285714
FEZ2	0.08234	0.60044	0.02282	0.01795	0.00381	0.1132	0.58722	0.203968571429
DDX42	9e-05	0.3597	0.54494	0.14645	0.01146	0.26073	0.10586	0.204175714286
LRPAP1	1e-05	0.00356	0.43538	0.11529	1e-05	0.77858	0.10084	0.20481
CAT	0.19402	0.17749	0.25903	6e-05	0.5019	0.28458	0.0221	0.205597142857
LRRC16A	0.04327	0.53881	0.10831	0.00021	0.04403	0.3613	0.34629	0.206031428571
DERA	0.3141	0.18369	0.48335	0.06754	1e-05	0.00614	0.39107	0.206557142857
NCK2	0.06484	0.02856	0.67286	0.02139	0.31035	0.02547	0.33295	0.20806
ZNF451	0.23491	0.16052	0.48163	0.04806	1e-05	0.30713	0.22611	0.208338571429
BTK	0.00178	0.51489	0.51479	0.03112	0.08625	0.03538	0.2768	0.208715714286
SLC35A3	0.27703	0.09664	0.15629	0.01172	0.05094	0.47037	0.3984	0.20877
CAPN1	0.03438	0.41699	0.05854	0.17254	1e-05	0.78001	0.00069	0.209022857143
HSPA1A	1e-05	0.05418	0.21605	0.08755	0.387	0.57962	0.14132	0.20939
LYRM1	0.00366	0.02047	0.92583	0.05001	0.26535	0.06263	0.13834	0.20947
INSIG1	0.16855	0.32377	0.62615	0.00677	0.14925	0.19255	0.00072	0.20968
CD97	0.21362	0.16982	0.18924	0.50184	0.01472	0.04161	0.33773	0.209797142857
GNAI2	0.04169	0.00045	0.08735	0.35241	3e-05	0.19029	0.79872	0.210134285714
DUSP4	0.00074	0.00017	0.00012	0.38426	0.33248	0.00027	0.76473	0.211824285714
FPGS	0.50981	0.40544	3e-05	0.10853	5e-05	0.36471	0.10203	0.212942857143
IFRD2	0.00154	0.25771	1e-05	0.18263	0.3584	1e-05	0.69141	0.213101428571
CHN1	0.19778	0.05446	0.44975	0.57837	0.13997	0.06236	0.00906	0.213107142857
ARFIP2	0.27438	0.03398	0.00024	0.32491	1e-05	0.17367	0.68681	0.213428571429
H2AFV	0.65132	0.00017	0.2544	0.05195	0.51427	0.01674	0.00528	0.213447142857
DECR1	0.21222	0.01087	0.37993	0.03957	0.0902	0.3174	0.44723	0.213917142857
TSTA3	0.02393	0.29607	0.96997	1e-05	1e-05	0.18435	0.03375	0.215441428571
SGCB	0.00784	0.00358	0.73284	0.07225	1e-05	0.48927	0.20704	0.216118571429
MAPKAPK3	0.57406	0.46682	1e-05	0.07204	0.00643	0.39842	4e-05	0.216831428571
CRELD2	0.27222	0.07839	0.59322	0.06732	0.00128	0.48886	0.0178	0.217012857143
EPRS	0.00011	6e-05	0.73946	1e-05	6e-05	0.64354	0.13649	0.217104285714
KAT6A	0.50035	0.02402	0.44206	0.24441	0.00094	0.059	0.25148	0.217465714286
POLG2	0.79853	0.07694	0.07358	0.03503	0.35373	0.08617	0.10075	0.217818571429
TPD52L2	2e-05	0.01033	0.15497	0.37794	5e-05	0.70513	0.27811	0.218078571429
NIPSNAP1	0.14661	0.90638	0.03692	1e-05	6e-05	0.19579	0.24528	0.218721428571
C2CD2L	0.00303	0.92718	0.46279	8e-05	0.12081	0.00079	0.01982	0.219214285714
UTP14A	0.0082	0.30852	0.30309	0.03659	0.08712	0.79006	0.02007	0.22195
FHL2	0.06764	0.11805	0.22257	0.9255	0.05337	0.00655	0.17402	0.223957142857
PEX11A	0.02	0.59737	0.01042	0.0445	7e-05	0.90618	0.00485	0.226198571429
ARL4C	0.4771	2e-05	0.20042	0.16096	0.4258	0.1663	0.1589	0.227071428571
PCCB	0.05579	0.40147	0.00011	0.95412	0.05908	0.12504	0.00023	0.227977142857
CXCL2	0.29012	0.32326	0.00027	0.0527	0.02017	0.28659	0.62587	0.228425714286
NNT	0.37477	0.02742	0.05582	0.0031	0.00217	0.78215	0.35481	0.228605714286
PSIP1	0.0432	0.35966	0.24052	0.83806	0.00521	0.0389	0.07658	0.228875714286
ME2	0.52589	0.99191	1e-05	0.0744	0.00053	0.01133	1e-05	0.229154285714
EDEM1	0.0438	0.816	0.25912	0.03533	0.17657	0.16916	0.10504	0.229288571429
HMOX1	0.0151	0.18285	0.48493	0.01663	0.19697	0.54249	0.1695	0.229781428571
BAMBI	0.00673	0.00014	1e-05	0.17426	0.47641	0.35642	0.59495	0.229845714286
TP53BP1	0.05922	0.81816	0.07026	0.05475	0.00914	0.22744	0.37093	0.229985714286
S100A4	0.00319	0.05089	0.50861	0.98374	0.00183	0.06054	0.00673	0.23079
CRYZ	1e-05	0.01391	0.52234	0.00019	1e-05	0.54133	0.53947	0.231037142857
TIMM9	0.01999	0.01831	0.07716	0.69469	0.33862	0.12244	0.34693	0.231162857143
ACOT9	0.01781	0.72498	1e-05	0.14493	0.00161	0.10141	0.63135	0.231728571429
PNKP	0.05876	0.77447	0.00933	0.09944	0.00344	0.13093	0.54605	0.231774285714
ADO	0.0018	0.77511	0.00018	0.00648	2e-05	0.00309	0.83708	0.231965714286
DUSP6	7e-05	0.00065	0.24004	0.67485	0.2358	1e-05	0.47252	0.231991428571
PDGFA	1e-05	0.59741	0.01426	0.01053	0.02271	0.75417	0.22721	0.232328571429
NFKBIA	0.18441	0.26259	0.16224	0.17	0.04098	0.62297	0.187	0.232884285714
GSTM2	0.01761	0.00861	0.80181	0.0183	0.54028	0.03268	0.21423	0.23336
NMT1	0.83005	0.001	0.60443	0.03795	0.10292	0.05314	0.01909	0.235511428571
FIS1	0.50668	0.02567	0.18791	0.21911	0.1013	0.08646	0.52188	0.235572857143
ADCK3	0.00239	0.02523	0.5004	0.28498	0.17988	0.00601	0.6513	0.235741428571
UBE3C	0.00058	0.97277	0.047	0.1453	0.00103	0.01697	0.47467	0.236902857143
TLR4	1e-05	0.30564	0.67567	0.13255	0.06201	0.33793	0.1468	0.23723
RB1	0.69332	0.04894	0.83117	0.0001	0.04982	0.0003	0.04201	0.237951428571
ABCF3	0.00891	0.20193	0.56507	0.3061	7e-05	0.00919	0.57927	0.238648571429
PTPLAD1	0.00123	0.4823	0.57629	0.0807	0.17589	0.23672	0.11818	0.238758571429
ERBB3	0.05739	0.27309	0.32093	0.10828	0.26329	0.36261	0.29269	0.239754285714
CORO1A	0.00903	0.03863	0.63975	0.49624	0.28115	0.10827	0.10714	0.24003
CANT1	0.03714	0.63242	0.0199	0.12259	0.04982	0.22444	0.59835	0.240665714286
ETV1	0.00147	1e-05	0.45654	0.01719	0.44075	1e-05	0.77398	0.241421428571
KIAA0355	3e-05	0.06996	0.16068	0.22325	0.17989	0.38214	0.67917	0.24216
HEBP1	0.27159	0.28849	0.19905	0.46727	0.09559	0.37098	0.00341	0.24234
TCFL5	0.37817	0.76029	0.11504	0.0372	0.40144	0.00628	0.00103	0.242778571429
FOXO3	0.10439	0.40493	0.37717	0.1585	0.2217	0.24228	0.20111	0.244297142857
EGR1	0.00627	0.30509	0.00031	0.6756	0.18631	0.38616	0.16459	0.246332857143
SERPINE1	0.37986	0.15363	0.29259	0.00417	0.02288	0.52565	0.35237	0.247307142857
SQRDL	0.87897	0.00087	0.09852	0.04264	0.01162	0.10216	0.6002	0.247854285714
TBC1D9B	0.29684	0.41742	0.12178	0.14106	0.12831	0.48355	0.14729	0.248035714286
ABHD6	0.57462	1e-05	0.05289	0.00105	0.58679	0.01636	0.51753	0.249892857143
DYNLT3	1e-05	0.6244	0.62354	0.01408	3e-05	0.01403	0.47519	0.250182857143
CALM3	0.64659	0.07559	0.25822	0.00773	0.34375	0.25103	0.17098	0.250555714286
SH3BP5	0.53616	0.1275	0.00019	0.11137	0.41084	0.47345	0.09859	0.251157142857
TARBP1	0.0182	0.81666	0.58829	0.01623	0.0773	0.01664	0.22508	0.2512
GPATCH8	0.00801	0.29423	0.17865	0.2378	0.0133	0.19002	0.8405	0.251787142857
HSD17B11	0.00049	0.13406	0.73962	0.22366	0.4496	0.05838	0.15924	0.25215
CEBPD	0.04972	0.03775	0.4258	0.25157	0.05521	0.42819	0.52065	0.252698571429
PTPN6	0.08751	0.05422	0.4494	0.03942	0.44571	0.2539	0.44662	0.253825714286
NT5DC2	3e-05	0.0138	0.86984	2e-05	0.03854	0.01676	0.84409	0.254725714286
ANKRD10	0.2235	0.20693	0.79178	0.35939	0.0326	0.17161	3e-05	0.25512
SYNGR3	0.01066	0.39727	0.7958	0.07896	0.09869	0.40453	0.00011	0.255145714286
STK10	0.0323	0.02533	0.05662	0.70826	0.70316	0.02044	0.24917	0.256468571429
ICAM1	0.12627	0.12319	0.76133	0.01247	0.14054	0.5976	0.03886	0.25718
TCEAL4	0.27823	0.15741	0.39055	0.0603	0.08062	0.63407	0.1993	0.257211428571
EGF	0.01424	0.76343	0.12112	3e-05	0.33591	0.56829	0.0003	0.257617142857
GATA2	0.40195	0.10055	0.98038	0.0925	0.00069	0.04396	0.18517	0.257885714286
PDLIM1	0.65569	0.33181	0.45901	0.01145	0.08631	0.15355	0.10829	0.258015714286
MLLT11	1e-05	1e-05	1e-05	0.72237	0.12549	0.95807	0.00028	0.258034285714
CLTC	0.27795	0.2714	0.0046	0.07496	3e-05	0.41461	0.76611	0.258522857143
ZNF318	0.10139	0.97462	0.20831	0.02023	0.45963	0.03959	0.00714	0.258701428571
GADD45B	0.46591	0.20996	0.31998	0.20018	0.0258	0.18231	0.41539	0.259932857143
MSRA	0.89714	0.07535	0.00788	0.00011	1e-05	0.84143	0.00179	0.26053
NCK1	0.55965	0.1118	0.02048	0.34112	0.00014	0.79375	0.00124	0.261168571429
CLPX	3e-05	0.33536	0.61599	0.01174	0.09204	0.09283	0.68444	0.261775714286
THAP11	0.46815	0.97378	0.10239	0.04957	1e-05	0.13309	0.10857	0.262222857143
LYN	0.00027	0.55495	0.00691	0.08109	0.19574	0.9715	0.02567	0.262304285714
ID2	0.00808	0.04172	0.35172	0.67344	0.30955	0.45736	0.0004	0.263181428571
STXBP1	0.00097	0.49018	0.08014	0.02574	0.73433	0.10846	0.40578	0.263657142857
TGFBR2	0.0061	0.3571	0.03385	0.23091	0.06611	0.38992	0.76285	0.263834285714
TSPAN6	0.2709	0.07709	0.18074	0.00897	1e-05	0.51426	0.79815	0.264302857143
MRPS2	0.15495	0.0221	0.00057	0.17256	0.07118	0.90201	0.53168	0.265007142857
ABHD4	0.15377	0.19936	0.42489	0.02359	0.36256	0.49616	0.19997	0.265757142857
EGFR	0.0406	0.19986	0.76094	0.01598	0.00839	0.28457	0.55941	0.267107142857
ACD	0.51145	0.28927	1e-05	0.42342	0.54118	0.07062	0.05083	0.26954
CISD1	0.29982	0.09587	0.81304	1e-05	0.40227	0.27945	1e-05	0.270067142857
DDX10	0.0047	0.00016	0.00553	0.34536	1e-05	0.5456	0.99381	0.270738571429
CDK19	0.22533	0.36208	0.57599	0.00578	0.09316	0.28348	0.34973	0.270792857143
IGFBP3	1e-05	0.00053	0.447	0.68391	0.62913	0.12058	0.01781	0.271281428571
FOXJ3	5e-05	0.09411	0.03308	0.49043	0.3635	0.21799	0.70165	0.271544285714
YME1L1	0.37196	2e-05	0.88984	0.0029	0.09187	0.54438	1e-05	0.271568571429
AGL	0.15538	0.91123	0.24163	0.00282	0.00043	0.58768	0.00395	0.271874285714
IARS2	0.28576	0.12486	0.00682	0.81944	0.02222	0.61851	0.02601	0.271945714286
SPRED2	0.1393	0.02336	0.0051	0.31362	0.5296	0.46115	0.44292	0.273578571429
ADAT1	0.22809	0.72839	0.52509	0.00019	0.2253	0.02853	0.18463	0.274317142857
PPP2R5A	0.48317	0.52643	0.37434	0.0317	0.00036	0.24046	0.26497	0.27449
FAT1	0.08923	0.71882	1e-05	0.06752	0.05174	0.27094	0.72939	0.275378571429
PECR	0.65752	0.31323	0.12947	0.01549	0.00025	0.10737	0.70536	0.275527142857
GNAI1	0.20983	0.66262	0.44724	0.01968	0.09261	0.30694	0.19011	0.275575714286
KLHL9	0.0406	0.94958	0.04871	0.02522	0.01201	0.32863	0.53121	0.276565714286
UBE2A	0.00017	0.51488	0.3928	0.00301	1e-05	0.55164	0.47465	0.276737142857
SLC11A2	0.08693	0.11049	0.01801	0.00283	0.73529	0.473	0.52565	0.278885714286
TBX2	1e-05	0.99379	0.38591	0.25016	0.12616	0.20429	0.00663	0.280992857143
UBQLN2	0.04849	0.67604	0.83768	0.0045	0.03752	0.21719	0.14607	0.28107
CCDC92	0.37215	0.56739	0.16895	0.17871	0.28682	0.00909	0.39961	0.283245714286
GOLT1B	0.00706	0.00069	0.86169	0.54786	2e-05	0.38683	0.19021	0.284908571429
PACSIN3	2e-05	0.59537	0.23634	0.37769	2e-05	0.08205	0.70396	0.285064285714
CALU	0.63303	1e-05	1e-05	1e-05	1e-05	0.50082	0.86701	0.285842857143
FBXO7	0.49306	0.12588	0.36403	0.09301	0.31412	0.39062	0.22102	0.285962857143
TUBB6	0.01786	0.39298	5e-05	0.79069	1e-05	0.09341	0.7112	0.2866
ERBB2	0.26152	0.46145	0.42681	0.03606	0.30695	0.23832	0.27947	0.287225714286
NR2F6	1e-05	0.35021	0.88203	0.14549	0.02387	0.61911	0.00033	0.288721428571
ATF6	0.02708	0.39601	0.44075	0.00187	0.00419	0.31243	0.84043	0.288965714286
PSMD4	0.6676	0.03415	0.20781	0.09564	0.0567	0.84192	0.11976	0.289082857143
TIPARP	0.04548	0.35175	0.63162	0.00489	0.02211	0.5687	0.40457	0.289874285714
PHKA1	0.68427	0.68937	0.01877	0.01083	0.31771	0.103	0.20531	0.289894285714
WDR67	0.6769	0.21477	0.53016	1e-05	0.61439	0.00073	0.00348	0.291491428571
PPARG	1e-05	0.64979	1e-05	0.8302	0.00256	0.0037	0.55846	0.292104285714
HEATR1	0.23343	0.23834	0.43216	0.03974	0.44263	0.63101	0.02751	0.292117142857
APPBP2	0.07328	0.77546	0.10482	0.01966	0.28523	0.06768	0.72511	0.293034285714
MAP2K5	0.33718	0.24083	0.04298	0.10167	0.44361	0.25289	0.63632	0.29364
ZNF274	0.1229	0.30841	0.029	0.14112	0.00041	0.73681	0.71722	0.293695714286
SLC25A14	0.52513	0.01897	0.0467	0.15287	0.8588	0.24376	0.21068	0.293844285714
